Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=NJ
08043,NJ,5.678,56037.02249,11/05/2004,,
08527,NJ,5.4,61633.63791,09/07/2004,,
08865,NJ,4.16,35440.86413,01/23/2008,,
08088,NJ,9.5,,04/27/2012,,
07740,NJ,6.45,61381.00407,11/20/2006,,
07733,NJ,9.02,81423.22573,12/10/2007,,
08648,NJ,7.8,71468.48533,01/11/2006,,
08001,NJ,28.5,258196.4019,07/01/2008,,
08559,NJ,5.25,49829.68252,03/17/2005,,
08332,NJ,6.12,,12/08/2014,,
08525,NJ,3.328,33991.65295,10/04/2007,,
07938,NJ,9,80786.02365,06/26/2007,,
07860,NJ,5.25,49601.88626,07/21/2005,,
08008,NJ,3.315,31622.57832,07/12/2006,,
08009,NJ,6.696,66332.42993,12/22/2008,,
08830,NJ,4.9,45997.27611,04/12/2006,,
07821,NJ,12.58,110577.2768,02/23/2006,,
08721,NJ,6.8,65439.21951,12/22/2005,,
08005,NJ,10.71,,06/13/2014,,
07208,NJ,9.5,,03/12/2014,,
08077,NJ,9.686,93855.38148,06/27/2006,,
07604,NJ,4.7,,09/25/2013,,
08095,NJ,19.11,,04/09/2013,,
07722,NJ,10.08,96923.64381,07/20/2005,,
07748,NJ,6.448,70376.23351,03/28/2006,,
07063,NJ,3.15,30307.00947,04/27/2007,,
07826,NJ,8.5,,12/02/2014,,
07960,NJ,9.9,102849.3162,06/22/2005,,
08062,NJ,4.992,76647.74769,01/04/2007,,
08854,NJ,5.64,,05/20/2013,,
08865,NJ,12.24,,08/26/2014,,
08054,NJ,7.74,,02/01/2012,,
07666,NJ,2.4,,03/10/2014,,
07866,NJ,7.35,62971.776,06/10/2005,,
08021,NJ,6.63,,12/16/2014,,
07822,NJ,9.1,85179.93514,03/31/2006,,
08872,NJ,9.435,,08/21/2014,,
08854,NJ,8.55,83488.73722,09/21/2005,,
08554,NJ,7.14,87305.9168,10/07/2008,,
08002,NJ,0.99,,10/17/2002,,
07675,NJ,14.4,145554.1463,12/02/2005,,
07456,NJ,8.956,82169.41917,01/09/2008,,
08741,NJ,6.5,,07/16/2014,,
08087,NJ,8.016,76692.09776,08/30/2005,,
07083,NJ,4.335,,07/08/2014,,
08816,NJ,4.25,,08/18/2014,,
08224,NJ,10.5,,12/04/2014,,
07644,NJ,5.17,,01/06/2012,,
08723,NJ,10.25,,08/15/2014,,
