Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=MN
55405,MN,11.985,80564.0,11/24/2010,,
55604,MN,2.72,21784.0,11/19/2010,,
56159,MN,11.04,95337.0,11/03/2010,,
55056,MN,11.52,77800.0,10/29/2010,,
55416,MN,3.68,29850.0,10/28/2010,,
56156,MN,8.568,68310.0,10/27/2010,,
55407,MN,2.76,20541.0,10/27/2010,,
55126,MN,1.75,11854.0,10/27/2010,,
55119,MN,2.76,16532.0,10/27/2010,,
56310,MN,7.68,68260.0,10/27/2010,,
55419,MN,9.66,66171.0,10/26/2010,,
55344,MN,10.15,83500.0,10/25/2010,,
55421,MN,39.96,330000.0,10/25/2010,,
55405,MN,10.15,84753.0,10/25/2010,,
55421,MN,39.96,330000.0,10/25/2010,,
55108,MN,10.11,83500.0,10/25/2010,,
55430,MN,15.24,126492.0,10/25/2010,,
55415,MN,10.11,83500.0,10/25/2010,,
55108,MN,10.15,83500.0,10/25/2010,,
55001,MN,3.22,19981.0,10/25/2010,,
55418,MN,3.6,26469.0,10/22/2010,,
55438,MN,4.2,23980.0,10/21/2010,,
55946,MN,9.87,86362.0,10/21/2010,,
55117,MN,1.935,14028.0,10/19/2010,,
56431,MN,1.84,10191.0,10/19/2010,,
55001,MN,4.23,27984.0,10/14/2010,,
55033,MN,10.12,62575.0,10/14/2010,,
55426,MN,14.85,89397.0,10/13/2010,,
55042,MN,4.5,59666.0,10/11/2010,,
55420,MN,10.0,72000.0,10/07/2010,,
55406,MN,2.7,24969.0,10/06/2010,,
55042,MN,5.25,33575.0,10/06/2010,,
55057,MN,2.76,27539.0,10/06/2010,,
55417,MN,2.585,22157.0,10/02/2010,,
55043,MN,8.1,63832.0,10/01/2010,,
55060,MN,5.28,30400.0,09/30/2010,,
55350,MN,10.0,49900.0,09/29/2010,,
55347,MN,6.376,38937.0,09/28/2010,,
56482,MN,2.1,12731.0,09/28/2010,,
56304,MN,4.6,34270.0,09/27/2010,,
55987,MN,5.06,34950.0,09/27/2010,,
56542,MN,4.6,29487.0,09/24/2010,,
55987,MN,5.06,34950.0,09/23/2010,,
55033,MN,3.15,36345.0,09/22/2010,,
55405,MN,3.76,30972.0,09/20/2010,,
55016,MN,2.04,10015.0,09/17/2010,,
56170,MN,8.28,72860.0,09/16/2010,,
55405,MN,3.0,30000.0,09/15/2010,,
55021,MN,11.28,74820.0,09/14/2010,,
55118,MN,3.68,43381.0,09/13/2010,,
55354,MN,10.81,78105.0,09/10/2010,,
55410,MN,3.76,31385.0,09/10/2010,,
55426,MN,4.6,24830.0,09/10/2010,,
56304,MN,5.16,23939.0,09/10/2010,,
55336,MN,5.04,21990.0,09/08/2010,,
55343,MN,2.115,14050.0,09/07/2010,,
55438,MN,5.16,39819.0,09/07/2010,,
55336,MN,5.04,21990.0,09/03/2010,,
55110,MN,5.06,31395.0,09/02/2010,,
55082,MN,3.87,57150.0,09/02/2010,,
55987,MN,5.06,34200.0,09/01/2010,,
55959,MN,5.06,33700.0,09/01/2010,,
55987,MN,5.06,33700.0,09/01/2010,,
55987,MN,5.06,33700.0,09/01/2010,,
55374,MN,4.995,35677.0,08/31/2010,,
55410,MN,1.38,8665.0,08/26/2010,,
56283,MN,10.12,36800.0,08/26/2010,,
