Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=NY
12542,NY,7.68,,07/06/2012,,
12533,NY,7.2,,09/17/2012,,
12533,NY,7.05,,09/17/2012,,
12533,NY,6.16,,07/11/2012,,
12528,NY,5.28,,09/11/2012,,
12522,NY,6.96,,08/16/2012,,
12514,NY,6.0,,10/10/2012,,
12484,NY,6.24,,10/03/2012,,
12477,NY,5.28,,09/20/2012,,
12472,NY,6.72,,09/12/2012,,
12472,NY,3.84,,09/07/2012,,
12449,NY,3.36,,09/17/2012,,
12449,NY,7.04,,09/10/2012,,
12449,NY,17.28,,07/16/2012,,
12419,NY,4.935,,09/24/2012,,
12404,NY,6.24,,09/26/2012,,
12401,NY,6.6,,09/05/2012,,
12401,NY,3.36,,09/05/2012,,
12401,NY,6.58,,07/30/2012,,
12309,NY,3.76,,08/15/2012,,
12306,NY,7.54,,10/03/2012,,
12306,NY,6.48,,09/13/2012,,
12306,NY,3.84,,08/09/2012,,
12306,NY,7.05,,06/28/2012,,
12304,NY,3.36,,09/13/2012,,
12205,NY,6.76,,10/04/2012,,
12205,NY,8.06,,09/28/2012,,
12180,NY,8.46,,07/06/2012,,
12170,NY,7.2,,10/03/2012,,
12144,NY,7.05,,08/15/2012,,
12144,NY,3.29,,07/19/2012,,
12134,NY,7.2,,07/20/2012,,
12123,NY,9.165,,07/19/2012,,
12120,NY,7.2,,09/26/2012,,
12110,NY,6.72,,09/13/2012,,
12110,NY,7.2,,09/12/2012,,
12110,NY,8.88,,07/03/2012,,
12095,NY,8.46,,08/21/2012,,
12095,NY,2.76,,08/15/2012,,
12084,NY,6.11,,07/19/2012,,
12067,NY,7.68,,09/13/2012,,
12065,NY,5.28,,10/09/2012,,
12065,NY,6.48,,09/10/2012,,
12057,NY,9.12,,08/13/2012,,
12052,NY,7.2,,09/26/2012,,
12051,NY,6.72,,09/10/2012,,
12033,NY,6.72,,08/21/2012,,
12033,NY,7.05,,07/10/2012,,
12033,NY,7.74,,06/28/2012,,
12022,NY,18.8,,09/20/2012,,
12018,NY,5.64,,07/13/2012,,
12009,NY,6.24,,08/20/2012,,
10998,NY,7.2,,08/30/2012,,
10990,NY,5.16,,08/28/2012,,
10981,NY,8.225,,09/26/2012,,
10980,NY,5.28,,09/17/2012,,
10977,NY,4.32,,08/30/2012,,
10970,NY,4.7,,09/10/2012,,
10952,NY,9.4,,08/03/2012,,
10940,NY,1.92,,09/26/2012,,
10940,NY,6.6,,08/31/2012,,
10930,NY,6.48,,09/18/2012,,
10930,NY,6.24,,07/25/2012,,
10924,NY,9.4,,10/05/2012,,
10924,NY,4.8,,09/07/2012,,
10918,NY,10.08,,09/27/2012,,
10914,NY,7.92,,09/26/2012,,
10901,NY,6.88,,09/26/2012,,
