Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=MA
02066,MA,2.76,39362.0,06/13/2012,,
01523,MA,9.6,50062.0,12/14/2011,,
01890,MA,3.84,18086.4,03/07/2012,,
01890,MA,4.68,24290.0,01/31/2012,,
01451,MA,29.6,136160.0,12/14/2011,,
02143,MA,3.23,24967.9,12/07/2011,,
02144,MA,3.5,27055.0,12/07/2011,,
01451,MA,5.92,26936.0,12/14/2011,,
02132,MA,6.075,27824.5,12/14/2011,,
02360,MA,6.24,27480.0,12/07/2011,,
02066,MA,5.76,26704.0,07/30/2012,,
02664,MA,7.848,49676.0,10/17/2012,,
02360,MA,9.81,46303.0,08/06/2012,,
02126,MA,5.39,21040.25,07/27/2012,,
01606,MA,5.88,24751.25,07/30/2012,,
01230,MA,2.4,18745.0,08/06/2012,,
01760,MA,6.63,44433.0,10/18/2012,,
02653,MA,7.14,34400.0,08/06/2012,,
02720,MA,4.8,22457.0,10/26/2012,,
02467,MA,5.5,20625.0,08/06/2012,,
02136,MA,4.59,23409.0,07/30/2012,,
01773,MA,15.0,57750.0,07/26/2012,,
01778,MA,14.25,55575.0,07/26/2012,,
02446,MA,3.43,13104.0,07/30/2012,,
02176,MA,5.39,21021.0,07/30/2012,,
02644,MA,6.96,34626.0,11/07/2012,,
02144,MA,5.0,19269.25,08/06/2012,,
02476,MA,2.45,16782.5,10/23/2012,,
02131,MA,6.0,22519.25,01/11/2013,,
01007,MA,7.848,43960.0,07/27/2012,,
01581,MA,6.76,26364.0,09/05/2012,,
02667,MA,5.232,33269.0,10/17/2012,,
02563,MA,5.886,40243.0,07/24/2012,,
02132,MA,4.0,15019.25,07/25/2012,,
01886,MA,5.76,24880.0,12/03/2012,,
01033,MA,14.4,71640.0,11/28/2012,,
01760,MA,5.7,33972.0,10/03/2012,,
01033,MA,7.848,43949.0,07/24/2012,,
02131,MA,3.43,14253.75,07/24/2012,,
01028,MA,9.156,51450.0,07/24/2012,,
01844,MA,3.6,17910.0,07/25/2012,,
01951,MA,2.64,13860.0,12/07/2012,,
02368,MA,3.0,11569.25,07/24/2012,,
01752,MA,5.0,19864.25,07/25/2012,,
02121,MA,9.8,41179.0,07/25/2012,,
02462,MA,6.0,22519.25,07/24/2012,,
02460,MA,7.5,28144.25,07/24/2012,,
01983,MA,9.156,48750.0,07/12/2012,,
02459,MA,12.72,57976.0,07/12/2012,,
01824,MA,3.5,13144.25,07/12/2012,,
01826,MA,9.0,34069.25,07/12/2012,,
01266,MA,9.8,46000.0,07/12/2012,,
02445,MA,3.43,13396.25,07/12/2012,,
02124,MA,9.065,38526.25,07/12/2012,,
02131,MA,3.5,13144.25,07/12/2012,,
02642,MA,4.8,21900.0,07/12/2012,,
02770,MA,6.72,31449.6,12/21/2012,,
02143,MA,4.08,23887.25,07/12/2012,,
01915,MA,7.0,29950.0,07/12/2012,,
01951,MA,3.43,20442.8,09/24/2012,,
02130,MA,4.9,19845.0,07/12/2012,,
02145,MA,10.0,39019.25,07/12/2012,,
02121,MA,3.0,11719.25,07/12/2012,,
02140,MA,4.59,18679.25,07/12/2012,,
02359,MA,6.37,25462.25,07/12/2012,,
02301,MA,6.0,22519.25,07/06/2012,,
02135,MA,9.0,36922.25,07/06/2012,,
02476,MA,4.0,15019.25,06/28/2012,,
02124,MA,3.5,13144.25,07/06/2012,,
01748,MA,10.0,37519.25,07/06/2012,,
01757,MA,5.886,32667.0,07/06/2012,,
01226,MA,6.24,31044.0,06/28/2012,,
02476,MA,5.1,19909.25,10/09/2012,,
01002,MA,6.12,23887.25,06/28/2012,,
01431,MA,6.5,25044.25,07/06/2012,,
01034,MA,4.8,34100.0,06/28/2012,,
02126,MA,6.5,26325.0,01/14/2013,,
02140,MA,1.88,12220.0,06/28/2012,,
02176,MA,4.0,15419.25,07/06/2012,,
02472,MA,4.59,17920.25,06/28/2012,,
01095,MA,14.388,79134.0,07/06/2012,,
02138,MA,4.59,18379.25,06/28/2012,,
02666,MA,5.886,41496.0,09/12/2012,,
01951,MA,3.6,17910.0,06/28/2012,,
01098,MA,3.84,20447.2,06/28/2012,,
01752,MA,4.0,15019.25,06/28/2012,,
02176,MA,4.0,15619.25,06/28/2012,,
02747,MA,7.5,28144.25,06/28/2012,,
01984,MA,14.715,73000.0,06/28/2012,,
02630,MA,11.28,67936.0,06/28/2012,,
01237,MA,14.4,109540.0,07/06/2012,,
02339,MA,10.2,39799.25,06/28/2012,,
01906,MA,5.76,26704.0,06/25/2012,,
02370,MA,4.8,23880.0,06/25/2012,,
02666,MA,14.715,74164.0,06/25/2012,,
02176,MA,3.12,15522.0,06/25/2012,,
02540,MA,2.64,14124.0,08/29/2012,,
02121,MA,10.2,41329.25,06/25/2012,,
02131,MA,4.59,18679.25,06/13/2012,,
02553,MA,2.64,14784.0,06/13/2012,,
02790,MA,5.1,25900.0,06/13/2012,,
02135,MA,6.12,27285.0,06/20/2012,,
01970,MA,6.12,23887.25,06/13/2012,,
01966,MA,6.45,32088.75,06/13/2012,,
01906,MA,5.04,23587.2,11/26/2012,,
01906,MA,5.61,21898.25,06/13/2012,,
02360,MA,8.91,38320.0,06/13/2012,,
02540,MA,5.355,25317.0,06/20/2012,,
02131,MA,5.0,18769.25,06/13/2012,,
02446,MA,5.64,40960.5,06/20/2012,,
01462,MA,5.61,22198.25,06/20/2012,,
02140,MA,6.12,31534.0,06/13/2012,,
01510,MA,11.27,48461.0,06/13/2012,,
01876,MA,5.28,24196.0,06/13/2012,,
01983,MA,8.46,42088.5,06/13/2012,,
01073,MA,5.39,24236.0,08/21/2012,,
01832,MA,7.755,38581.13,06/11/2012,,
02169,MA,5.76,29952.0,06/11/2012,,
02645,MA,5.64,28200.0,06/11/2012,,
02540,MA,5.04,35448.69,08/09/2012,,
01950,MA,4.5,17194.25,06/11/2012,,
01012,MA,3.12,16227.0,12/31/2012,,
02169,MA,9.75,36581.75,07/30/2012,,
02364,MA,5.76,26704.0,05/29/2012,,
02771,MA,4.8,33400.0,07/19/2012,,
01098,MA,10.56,67280.0,12/11/2012,,
01453,MA,5.76,26704.0,05/29/2012,,
02124,MA,10.045,42189.0,05/29/2012,,
02119,MA,3.055,12678.25,05/29/2012,,
01089,MA,4.9,19864.25,05/16/2012,,
02740,MA,6.45,32073.75,05/16/2012,,
01026,MA,14.25,72200.0,05/16/2012,,
01062,MA,8.64,24268.0,12/12/2012,,
02364,MA,5.76,26956.8,01/03/2013,,
02790,MA,5.76,26704.0,05/11/2012,,
01801,MA,6.86,40826.0,10/22/2012,,
02125,MA,4.9,30821.75,05/11/2012,,
02131,MA,4.41,17879.75,04/27/2012,,
01752,MA,4.68,25740.0,04/27/2012,,
02351,MA,5.76,26704.0,04/27/2012,,
02269,MA,4.8,22464.0,05/04/2012,,
02351,MA,5.76,26704.0,04/27/2012,,
02351,MA,5.76,26956.0,05/04/2012,,
01254,MA,4.32,22507.2,10/26/2012,,
02131,MA,3.92,16620.8,05/04/2012,,
02476,MA,4.9,20188.0,05/04/2012,,
02740,MA,5.76,26704.0,05/04/2012,,
02351,MA,5.76,26956.0,04/27/2012,,
02675,MA,6.48,35816.0,04/27/2012,,
01475,MA,5.76,32917.68,04/27/2012,,
01740,MA,6.0,32400.0,04/27/2012,,
01740,MA,5.0,27000.0,04/27/2012,,
01451,MA,6.0,32400.0,04/27/2012,,
01983,MA,7.755,32483.25,04/27/2012,,
02738,MA,7.35,30386.0,04/27/2012,,
02539,MA,9.36,59835.0,04/27/2012,,
02368,MA,4.8,22464.0,01/08/2013,,
02453,MA,4.56,21340.0,11/19/2012,,
02382,MA,5.76,26957.0,04/19/2012,,
02169,MA,5.76,26956.8,04/19/2012,,
02748,MA,7.5,30846.36,04/19/2012,,
01341,MA,6.12,33223.0,04/19/2012,,
02474,MA,4.8,25008.0,12/04/2012,,
01056,MA,10.0,52999.0,04/19/2012,,
02657,MA,7.68,41150.0,01/04/2013,,
01905,MA,4.8,25008.0,04/19/2012,,
01610,MA,6.0,31260.0,11/09/2012,,
01431,MA,5.52,31354.55,04/19/2012,,
02186,MA,3.12,16255.2,04/19/2012,,
01754,MA,7.2,37512.0,04/19/2012,,
02364,MA,5.17,24196.0,04/19/2012,,
02571,MA,3.44,18324.0,04/19/2012,,
02138,MA,4.59,25168.0,08/09/2012,,
02474,MA,6.4,39270.0,06/04/2012,,
02145,MA,4.41,17879.75,04/19/2012,,
01037,MA,8.0,49336.0,04/19/2012,,
02743,MA,7.65,34425.0,04/19/2012,,
01886,MA,12.48,65020.8,04/19/2012,,
02539,MA,10.105,59835.0,04/19/2012,,
02138,MA,2.88,15004.8,04/19/2012,,
01821,MA,8.695,54333.0,04/19/2012,,
02030,MA,14.88,94282.0,04/19/2012,,
01701,MA,5.76,26956.8,12/21/2012,,
02186,MA,8.64,45014.4,04/06/2012,,
01032,MA,10.0,50000.0,04/06/2012,,
01420,MA,7.2,32160.0,04/06/2012,,
01605,MA,4.32,22489.2,03/30/2012,,
02050,MA,4.59,23409.0,03/30/2012,,
01002,MA,5.5,26651.0,07/27/2012,,
02338,MA,5.76,26957.0,04/06/2012,,
02081,MA,5.76,26957.0,03/30/2012,,
01474,MA,7.05,36730.5,04/06/2012,,
02148,MA,3.29,17140.9,04/06/2012,,
02540,MA,5.16,28896.0,03/30/2012,,
01845,MA,15.0,46500.0,04/06/2012,,
02642,MA,2.55,18844.5,07/23/2012,,
01451,MA,6.72,38563.0,03/30/2012,,
01007,MA,4.83,21640.52,04/06/2012,,
02333,MA,5.28,27508.8,03/30/2012,,
02117,MA,1.84,9950.0,04/06/2012,,
01757,MA,8.64,45014.4,04/06/2012,,
01950,MA,6.0,29100.0,11/02/2012,,
01351,MA,4.9,24500.0,11/02/2012,,
01950,MA,5.76,29261.0,11/02/2012,,
01201,MA,6.0,23400.0,11/02/2012,,
02176,MA,6.615,24806.25,11/02/2012,,
01351,MA,4.9,28530.0,11/02/2012,,
01201,MA,6.0,28800.0,11/02/2012,,
01950,MA,3.84,19008.0,11/02/2012,,
01720,MA,5.0,22450.0,11/02/2012,,
01773,MA,9.0,33300.0,11/02/2012,,
02130,MA,2.88,14328.0,11/02/2012,,
01950,MA,1.44,7200.0,11/02/2012,,
01720,MA,4.5,20255.0,11/02/2012,,
01773,MA,13.5,49950.0,11/02/2012,,
01069,MA,6.0,23400.0,11/02/2012,,
02131,MA,3.36,16716.0,11/02/2012,,
01464,MA,7.5,38185.0,11/02/2012,,
01351,MA,4.9,24500.0,11/02/2012,,
02474,MA,6.25,26376.0,11/02/2012,,
02176,MA,4.655,16990.75,11/02/2012,,
02459,MA,7.14,28579.25,11/06/2012,,
02032,MA,3.75,14247.5,11/06/2012,,
01201,MA,5.5,21450.0,11/02/2012,,
01773,MA,9.75,36075.0,11/02/2012,,
01069,MA,7.25,28275.0,11/02/2012,,
01201,MA,7.25,28275.0,11/02/2012,,
01773,MA,14.0,51800.0,11/02/2012,,
01201,MA,5.75,22425.0,11/02/2012,,
01201,MA,9.0,35100.0,11/02/2012,,
01201,MA,4.75,18525.0,11/02/2012,,
02472,MA,5.28,26268.0,12/14/2012,,
01073,MA,9.75,41163.0,10/26/2012,,
02747,MA,8.575,33734.29,12/10/2012,,
01876,MA,7.68,38208.0,01/07/2013,,
01720,MA,4.5,16999.0,10/26/2012,,
01504,MA,10.8,62910.0,10/26/2012,,
01776,MA,9.18,56170.0,10/26/2012,,
02367,MA,5.76,22390.0,10/26/2012,,
02093,MA,5.28,26268.0,01/08/2013,,
02169,MA,3.06,16463.4,10/26/2012,,
01226,MA,3.12,15522.0,12/18/2012,,
02747,MA,5.61,29830.0,10/26/2012,,
01543,MA,7.25,31375.0,10/26/2012,,
02702,MA,3.36,17640.0,10/26/2012,,
01027,MA,9.5,68813.0,12/26/2012,,
02081,MA,6.12,31355.0,10/26/2012,,
01757,MA,3.675,13287.5,10/26/2012,,
02563,MA,5.5,35000.0,10/26/2012,,
02543,MA,9.5,39100.0,10/26/2012,,
01440,MA,9.6,47760.0,10/26/2012,,
01585,MA,5.5,23500.0,10/26/2012,,
02026,MA,5.25,23000.0,10/26/2012,,
02645,MA,5.76,28087.2,10/26/2012,,
02128,MA,4.5,18541.25,10/26/2012,,
01095,MA,6.48,42395.0,01/09/2013,,
01257,MA,4.41,25142.0,10/26/2012,,
01852,MA,4.25,19125.0,10/26/2012,,
01519,MA,6.24,31044.0,12/12/2012,,
01501,MA,5.5,25850.0,10/26/2012,,
01876,MA,4.32,21492.0,10/28/2012,,
01027,MA,14.56,66748.0,10/26/2012,,
01702,MA,6.27,21991.05,10/26/2012,,
02769,MA,8.82,35520.0,10/26/2012,,
02649,MA,9.4,50766.0,11/16/2012,,
02630,MA,10.0,41500.0,10/26/2012,,
01060,MA,7.194,35778.0,10/26/2012,,
01056,MA,10.137,51925.0,10/26/2012,,
