Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=TX
78258,TX,13.05,38497.5,12/17/2012,,
78258,TX,13.92,41064.0,12/17/2012,,
78231,TX,6.12,23227.83,12/17/2012,,
78254,TX,6.67,21450.69,12/12/2012,,
78266,TX,8.5,25415.0,12/12/2012,,
78209,TX,6.24,23665.72,12/12/2012,,
78212,TX,4.08,16335.72,12/12/2012,,
78240,TX,5.5,21186.0,12/10/2012,,
78163,TX,5.17,25074.5,12/07/2012,,
78132,TX,5.15,21039.54,12/07/2012,,
78006,TX,7.52,35794.0,12/07/2012,,
78219,TX,61.6,199058.0,12/04/2012,,
78219,TX,67.6,219218.0,12/04/2012,,
78219,TX,113.96,347344.0,12/04/2012,,
78260,TX,12.76,44995.5,12/04/2012,,
78251,TX,28.91,119955.0,11/29/2012,,
78251,TX,28.91,119955.0,11/28/2012,,
78154,TX,28.91,119955.0,11/28/2012,,
78216,TX,28.91,119955.0,11/28/2012,,
78232,TX,28.91,119955.0,11/28/2012,,
78253,TX,9.36,42140.0,11/28/2012,,
78204,TX,21.0,76000.0,11/14/2012,,
78059,TX,10.12,47275.91,11/14/2012,,
78213,TX,5.94,19126.8,11/12/2012,,
78253,TX,4.32,14707.91,11/08/2012,,
78213,TX,6.48,38422.5,11/08/2012,,
78059,TX,8.5,33670.8,11/08/2012,,
78218,TX,4.14,12050.43,11/08/2012,,
78266,TX,7.92,32087.0,11/08/2012,,
78230,TX,4.7,24675.0,11/08/2012,,
78023,TX,6.44,28009.78,11/08/2012,,
78232,TX,2.82,15694.0,11/06/2012,,
78261,TX,8.41,20743.88,11/05/2012,,
78232,TX,5.2,44648.0,11/05/2012,,
78232,TX,4.86,20655.0,11/05/2012,,
78240,TX,5.75,25616.69,11/05/2012,,
78261,TX,5.64,30338.0,11/01/2012,,
78232,TX,12.47,44608.07,11/01/2012,,
78204,TX,50.0,189924.0,10/30/2012,,
78219,TX,22.5,89550.0,10/26/2012,,
78006,TX,10.12,42754.26,10/26/2012,,
78250,TX,4.23,18239.8,10/24/2012,,
78238,TX,5.88,22791.0,10/24/2012,,
78154,TX,6.96,24290.4,10/24/2012,,
78260,TX,5.89,27870.39,10/24/2012,,
78205,TX,10.0,40392.0,10/19/2012,,
78260,TX,8.64,38900.0,10/19/2012,,
78255,TX,7.52,29279.0,10/19/2012,,
78209,TX,7.85,36154.22,10/18/2012,,
78260,TX,3.2,22500.0,10/18/2012,,
78209,TX,11.47,56227.5,10/18/2012,,
78209,TX,3.29,18873.5,10/18/2012,,
78258,TX,9.6,39820.0,10/18/2012,,
78239,TX,12.42,60853.91,10/18/2012,,
78216,TX,4.68,19581.58,10/16/2012,,
78247,TX,3.68,24644.91,10/16/2012,,
78240,TX,2.21,14250.0,10/16/2012,,
78240,TX,2.21,14250.0,10/16/2012,,
78240,TX,2.21,14250.0,10/16/2012,,
78240,TX,2.21,14250.0,10/16/2012,,
78240,TX,2.21,14250.0,10/16/2012,,
78023,TX,6.12,25491.68,10/16/2012,,
78109,TX,5.4,17010.0,10/16/2012,,
78073,TX,13.4,54625.6,10/12/2012,,
