Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=TX
78759,TX,2.99,14044.38,09/26/2011,,
78731,TX,6.105,28503.92,09/26/2011,,
78747,TX,4.995,23485.47,09/26/2011,,
78704,TX,5.55,25350.92,09/26/2011,,
78749,TX,4.07,19392.09,09/26/2011,,
78745,TX,4.07,19324.42,09/26/2011,,
78734,TX,6.9,41193.43,09/26/2011,,
78752,TX,5.52,21481.75,09/26/2011,,
78723,TX,4.5,22601.0,09/27/2011,,
78703,TX,6.5,27742.0,09/27/2011,,
78753,TX,6.125,27584.0,09/27/2011,,
78702,TX,4.0,18346.0,09/27/2011,,
78746,TX,11.02,57085.04,09/27/2011,,
78723,TX,6.25,19282.0,09/27/2011,,
78705,TX,1.75,,09/27/2011,,
78746,TX,8.5,51959.0,09/27/2011,,
78723,TX,2.25,,09/27/2011,,
78723,TX,2.5,20155.0,09/27/2011,,
78704,TX,4.5,19220.0,09/27/2011,,
78746,TX,6.3,38208.0,09/28/2011,,
78703,TX,10.73,44405.4,09/28/2011,,
78756,TX,3.68,21252.0,09/28/2011,,
78704,TX,2.76,12420.0,09/28/2011,,
78756,TX,1.38,,09/28/2011,,
78703,TX,4.14,23183.17,09/28/2011,,
78757,TX,6.44,29243.29,09/29/2011,,
78752,TX,4.7,22810.0,09/29/2011,,
78660,TX,6.21,37123.33,09/29/2011,,
78749,TX,1.665,,09/29/2011,,
78746,TX,6.105,29953.55,09/29/2011,,
78747,TX,6.12,29986.0,09/29/2011,,
78734,TX,6.96,45267.0,09/29/2011,,
78759,TX,11.473,53450.5,09/29/2011,,
78749,TX,1.84,,09/29/2011,,
78749,TX,5.772,18113.0,09/29/2011,,
78749,TX,4.23,30674.0,09/29/2011,,
78749,TX,4.6,28166.0,09/29/2011,,
78736,TX,2.53,11511.0,09/29/2011,,
78749,TX,1.41,,09/29/2011,,
78723,TX,5.55,24433.82,09/30/2011,,
78734,TX,8.14,22169.22,09/30/2011,,
78723,TX,6.37,26501.0,09/30/2011,,
78723,TX,14.75,66299.96,09/30/2011,,
78723,TX,6.345,25791.14,09/30/2011,,
78757,TX,6.345,30997.0,09/30/2011,,
78759,TX,4.23,28331.0,09/30/2011,,
78723,TX,6.615,28800.0,09/30/2011,,
78723,TX,6.11,25392.96,09/30/2011,,
78759,TX,0.94,,09/30/2011,,
78723,TX,3.7,16291.47,09/30/2011,,
78723,TX,7.45,22058.0,09/30/2011,,
78723,TX,1.665,18190.0,09/30/2011,,
78723,TX,3.33,14665.77,09/30/2011,,
78723,TX,5.92,26064.0,09/30/2011,,
78722,TX,1.85,25385.13,09/30/2011,,
78723,TX,7.365,25118.0,09/30/2011,,
78723,TX,3.525,26944.11,09/30/2011,,
78723,TX,7.07,44463.0,09/30/2011,,
78756,TX,6.475,50096.65,09/30/2011,,
78723,TX,7.31,25657.59,09/30/2011,,
78723,TX,5.92,27461.44,09/30/2011,,
78723,TX,1.62,,09/30/2011,,
78722,TX,9.81,34444.0,09/30/2011,,
78723,TX,6.21,26082.0,09/30/2011,,
78723,TX,2.94,,09/30/2011,,
78723,TX,1.08,,09/30/2011,,
78723,TX,3.96,17700.0,09/30/2011,,
78735,TX,3.76,22903.0,09/30/2011,,
78704,TX,1.6,8651.0,10/01/2011,,
78757,TX,6.44,33000.0,10/08/2011,,
78731,TX,5.76,34526.53,10/11/2011,,
78723,TX,8.28,54498.0,10/11/2011,,
78723,TX,3.91,,10/11/2011,,
78746,TX,7.755,35002.0,10/11/2011,,
78723,TX,3.33,14667.72,10/12/2011,,
78746,TX,6.125,25042.0,10/13/2011,,
78723,TX,6.66,29500.0,10/21/2011,,
78733,TX,4.14,21126.42,10/21/2011,,
78732,TX,6.44,30500.0,10/26/2011,,
78617,TX,3.515,21301.09,10/31/2011,,
78617,TX,3.5,20790.08,10/31/2011,,
78744,TX,3.5,21301.14,10/31/2011,,
78744,TX,3.515,21301.09,10/31/2011,,
78744,TX,3.515,21048.7,10/31/2011,,
78744,TX,3.5,20790.08,10/31/2011,,
78747,TX,3.5,20790.08,10/31/2011,,
78747,TX,3.5,21301.09,10/31/2011,,
78747,TX,3.515,21242.29,10/31/2011,,
78723,TX,6.29,28680.3,11/01/2011,,
78723,TX,3.68,,11/01/2011,,
78722,TX,7.585,50912.77,11/01/2011,,
78756,TX,19.6,,11/07/2011,,
78746,TX,5.612,26025.69,11/18/2011,,
78744,TX,20.2,160512.0,12/01/2011,,
78759,TX,21.1,106622.89,12/01/2011,,
78758,TX,3.29,17668.0,12/05/2011,,
78736,TX,2.16,8179.67,12/05/2011,,
78758,TX,3.29,17668.0,12/05/2011,,
78723,TX,6.44,26315.0,12/06/2011,,
78745,TX,6.105,28995.57,12/06/2011,,
78732,TX,2.31,7757.09,12/06/2011,,
78746,TX,4.7,20235.27,12/08/2011,,
78747,TX,6.3,25784.31,12/12/2011,,
78703,TX,2.88,11553.0,12/15/2011,,
78731,TX,6.345,28369.28,12/19/2011,,
78705,TX,8.0,26036.0,12/22/2011,,
78723,TX,2.035,8177.57,12/27/2011,,
78746,TX,6.105,24930.98,12/27/2011,,
78747,TX,3.515,21242.29,12/29/2011,,
78723,TX,5.275,33742.1,12/29/2011,,
78727,TX,4.32,,12/29/2011,,
78744,TX,5.435,43878.08,12/29/2011,,
78744,TX,1.48,,12/29/2011,,
78753,TX,6.24,21900.0,12/29/2011,,
78746,TX,5.157,21549.36,01/03/2012,,
78704,TX,6.08335,23263.0,01/03/2012,,
78730,TX,6.09024,29503.4,01/03/2012,,
78759,TX,6.0795,25259.5,01/03/2012,,
78745,TX,3.0912,12250.1,01/05/2012,,
78749,TX,5.9616,24991.26,01/05/2012,,
78723,TX,5.6727,20783.13,01/06/2012,,
78731,TX,9.2796,42015.59,01/06/2012,,
78732,TX,2.7792,21295.93,01/06/2012,,
78732,TX,2.7792,,01/06/2012,,
78732,TX,6.1884,24676.71,01/06/2012,,
78749,TX,7.2729,50364.91,01/09/2012,,
78734,TX,6.1884,25911.84,01/09/2012,,
78703,TX,2.9529,,01/09/2012,,
78733,TX,10.3,63677.0,01/17/2012,,
78746,TX,5.76,32062.0,01/18/2012,,
78733,TX,5.922875,67652.0,01/18/2012,,
78733,TX,11.31655,27386.0,01/18/2012,,
78733,TX,5.20135,,01/18/2012,,
78733,TX,5.3268,19872.0,01/18/2012,,
78759,TX,5.335,25908.0,01/19/2012,,
78731,TX,5.20135,20495.0,01/20/2012,,
78702,TX,4.9,22062.68,01/24/2012,,
78702,TX,15.2,68394.0,01/24/2012,,
78763,TX,5.5008,98000.0,02/02/2012,,
78763,TX,6.912,,02/02/2012,,
78763,TX,13.4406,35701.72,02/02/2012,,
78704,TX,2.4288,10368.27,02/03/2012,,
78756,TX,5.9904,26651.0,02/03/2012,,
78735,TX,6.0216,23400.0,02/03/2012,,
78723,TX,6.2725,24275.0,02/07/2012,,
78746,TX,3.9951,27074.92,02/10/2012,,
78746,TX,7.63315,20196.0,02/10/2012,,
78757,TX,6.0795,26186.28,02/13/2012,,
78745,TX,7.2546,43529.59,02/16/2012,,
78745,TX,6.186375,27332.0,02/16/2012,,
78731,TX,1.2675,,02/16/2012,,
78749,TX,2.4381,11146.0,02/21/2012,,
78734,TX,3.18015,17660.85,02/21/2012,,
78734,TX,3.18015,15557.7,02/21/2012,,
78728,TX,2.316,,02/22/2012,,
78724,TX,9.7272,40560.0,02/22/2012,,
78754,TX,5.79,19500.0,02/22/2012,,
78757,TX,5.5198,23073.0,02/23/2012,,
78733,TX,6.1884,23974.17,02/24/2012,,
78745,TX,3.078,17756.53,02/27/2012,,
78745,TX,4.6464,20600.0,02/27/2012,,
78732,TX,5.0424,19434.92,02/27/2012,,
78727,TX,1.755,24640.05,03/01/2012,,
78727,TX,9.9171,21874.48,03/01/2012,,
78751,TX,5.79,20595.0,03/02/2012,,
78744,TX,5.6742,22109.0,03/05/2012,,
78744,TX,5.5584,18720.0,03/06/2012,,
78732,TX,1.6791,16420.2,03/07/2012,,
78732,TX,7.4836,27605.74,03/07/2012,,
78704,TX,5.00229,27485.0,03/08/2012,,
78724,TX,4.632,15600.0,03/08/2012,,
78759,TX,5.7834,23345.0,03/08/2012,,
78704,TX,3.686,16388.0,03/09/2012,,
78704,TX,2.5536,11850.0,03/09/2012,,
78705,TX,13.2,70825,12/01/2011,,
78731,TX,28.0,150288.52,12/30/2009,,
78703,TX,2.22,14000.0,01/07/2010,,
78703,TX,2.22,14000.0,01/07/2010,,
78703,TX,7.44,45000.0,01/07/2010,,
78746,TX,23.625,141845.48,09/15/2009,,
78660,TX,14.685,79827.0,12/30/2009,,
78703,TX,4.65,43655.0,05/10/2010,,
78722,TX,4.29,35435.0,08/19/2009,,
78747,TX,23.985,135100.0,09/15/2009,,
78723,TX,19.38,111264.01,07/29/2009,,
78704,TX,22.94,137760.89,09/25/2009,,
78703,TX,4.2,34859.57,04/30/2009,,
78704,TX,13.392,101284.0,10/07/2009,,
78704,TX,17.48,130940.0,10/22/2009,,
78745,TX,23.328,206224.01,07/13/2009,,
78723,TX,23.355,167757.74,08/18/2009,,
78751,TX,5.775,49629.31,05/21/2009,,
78751,TX,23.625,177876.47,07/13/2009,,
78751,TX,23.625,179500.22,07/13/2009,,
78741,TX,11.55,71342.88,04/30/2009,,
78705,TX,24.32,175278.26,02/04/2010,,
78729,TX,3.85,35925.0,02/27/2009,,
78727,TX,2.8,26708.0,04/06/2009,,
78710,TX,5.25,44738.0,05/21/2009,,
78756,TX,3.85,42462.0,04/06/2009,,
78752,TX,23.4,166495.31,05/05/2009,,
78704,TX,6.24,48546.8,07/27/2009,,
78704,TX,24.48,198246.31,05/04/2009,,
78703,TX,6.12,41249.0,01/09/2009,,
78704,TX,23.625,163059.95,12/23/2008,,
78746,TX,5.25,34447.85,01/09/2009,,
78704,TX,23.1,166798.0,03/16/2009,,
78756,TX,2.592,21678.34,05/04/2009,,
78746,TX,23.625,147232.91,11/09/2009,,
78746,TX,23.625,149232.91,11/26/2008,,
78752,TX,23.4,125123.89,04/10/2009,,
78724,TX,1.575,15023.23,02/18/2009,,
78727,TX,10.5,91152.41,10/24/2008,,
78734,TX,5.33,40105.0,09/10/2008,,
78748,TX,3.15,23782.0,08/13/2008,,
78723,TX,3.5,23782.0,09/10/2008,,
78751,TX,6.656,48588.65,11/24/2008,,
78758,TX,23.625,175414.55,06/17/2008,,
78759,TX,8.75,69325.0,08/13/2008,,
78729,TX,23.68,164142.43,08/12/2008,,
78746,TX,22.91,201351.62,02/25/2009,,
78746,TX,23.274,201823.61,06/16/2008,,
78704,TX,25.2,169926.2,09/09/2008,,
78705,TX,23.1,164150.0,05/02/2008,,
78705,TX,14.0,106917.2,07/29/2008,,
78727,TX,0.7,9160.66,07/23/2008,,
78727,TX,17.5,129953.84,07/18/2008,,
78745,TX,23.1,175341.19,04/08/2008,,
78727,TX,10.5,76494.9,05/14/2008,,
78704,TX,7.0,54885.46,06/30/2008,,
78704,TX,12.18,91282.0,02/19/2009,,
78723,TX,0.791,6500.0,09/06/2009,,
78723,TX,15.386,91000.0,08/06/2009,,
78757,TX,8.75,69325.0,06/18/2008,,
78727,TX,6.048,53858.84,03/02/2009,,
78705,TX,2.8,18621.19,03/24/2008,,
78701,TX,1.225,9179.89,03/24/2008,,
78701,TX,2.8,26666.63,05/16/2008,,
78705,TX,23.1,174726.42,02/27/2008,,
78751,TX,23.1,173531.65,03/24/2008,,
78738,TX,14.0,94053.22,11/08/2007,,
78724,TX,11.4,242804.75,08/01/2007,,
78746,TX,22.44,164315.0,05/29/2007,,
78748,TX,5.61,43337.19,07/17/2007,,
78705,TX,15.75,103357.02,06/14/2007,,
78704,TX,13.77,104652.08,09/18/2007,,
78702,TX,3.4,22875.26,02/05/2007,,
78701,TX,23.296,166551.23,03/12/2007,,
78756,TX,11.648,87515.68,03/02/2009,,
78751,TX,10.8,70258.0,12/12/2007,,
78745,TX,23.625,147098.66,05/02/2008,,
78754,TX,16.66,157848.77,02/09/2007,,
78702,TX,8.236,66505.4,03/15/2007,,
78731,TX,23.296,166022.53,08/17/2006,,
78705,TX,9.52,68212.56,02/09/2007,,
78752,TX,17.85,109037.0,02/08/2006,,
78748,TX,18.9,115864.0,02/13/2007,,
78701,TX,4.5,60086.0,05/10/2006,,
78705,TX,21.76,125000.0,01/10/2006,,
78744,TX,21.78,144122.0,08/03/2005,,
78702,TX,4.8,29008.0,12/22/2004,,
78744,TX,18.036,127183.0,08/30/2005,,
78745,TX,16.7,93521.11,09/28/2005,,
78741,TX,6.6,37310.73,05/14/2009,,
78735,TX,21.0,124600.0,07/07/2005,,
78758,TX,21.12,123398.0,08/10/2005,,
78758,TX,21.78,130000.0,08/31/2005,,
78746,TX,20.875,123650.0,07/28/2005,,
78752,TX,17.28,129612.0,03/09/2005,,
78723,TX,11.52,69684.0,12/22/2004,,
78745,TX,21.12,125022.0,01/28/2005,,
78744,TX,24.0,136162.0,02/25/2005,,
78756,TX,2.672,14348.0,08/25/2004,,
78731,TX,3.185,18726.0,01/31/2011,,
78704,TX,5.98,29003.0,01/07/2011,,
78758,TX,6.345,32151.21,01/19/2011,,
78748,TX,3.68,20082.0,01/04/2011,,
78756,TX,3.04,17300.0,12/21/2010,,
78704,TX,4.56,21651.0,01/31/2011,,
78723,TX,3.33,15473.0,01/10/2011,,
78733,TX,6.29,30000.0,09/25/2008,,
78723,TX,6.66,31027.55,01/11/2011,,
78746,TX,6.105,33341.0,01/19/2011,,
78759,TX,6.5,30254.9,01/20/2011,,
78738,TX,6.48,30803.0,12/08/2010,,
78745,TX,6.44,27130.96,01/25/2011,,
78745,TX,6.29,25573.27,12/06/2010,,
78746,TX,6.3,30693.69,10/07/2010,,
78735,TX,6.3,20975.69,10/07/2010,,
78723,TX,6.105,30542.18,11/01/2010,,
78759,TX,3.24,15750.0,08/09/2010,,
78759,TX,6.3,33732.12,10/07/2010,,
78756,TX,6.3,31664.64,10/01/2010,,
78733,TX,6.345,32137.0,09/29/2010,,
78736,TX,4.86,17037.56,01/10/2011,,
78757,TX,5.25,22978.79,04/13/2010,,
78731,TX,7.2,45000.0,07/22/2010,,
78723,TX,6.48,27785.0,06/22/2010,,
78730,TX,5.775,28411.0,05/24/2010,,
78735,TX,2.464,16800.35,04/14/2010,,
78746,TX,6.58,39480.0,02/01/2011,,
78746,TX,6.44,43470.0,05/28/2010,,
78732,TX,6.66,29980.0,12/27/2010,,
78732,TX,5.88,27934.77,05/26/2010,,
78702,TX,3.15,18791.73,04/14/2010,,
78721,TX,2.52,14793.15,04/27/2010,,
78745,TX,3.01,24000.0,08/23/2010,,
78746,TX,2.96,17574.46,01/10/2011,,
78759,TX,5.25,29998.97,03/25/2010,,
78758,TX,1.38,9315.0,04/26/2010,,
78748,TX,5.94,54038.58,06/08/2010,,
78731,TX,6.21,44600.89,03/26/2010,,
78722,TX,2.4,17399.24,09/22/2010,,
78731,TX,8.51,43264.89,10/28/2010,,
78741,TX,2.8,9592.06,05/12/2010,,
78704,TX,6.3,32174.0,03/02/2010,,
78733,TX,5.52,30150.0,06/29/2010,,
78723,TX,1.284,11042.82,03/10/2010,,
78746,TX,3.168,25744.22,03/10/2010,,
78746,TX,5.075,32558.27,08/18/2010,,
78704,TX,4.2,22923.93,04/26/2010,,
78732,TX,4.62,19963.75,06/04/2010,,
78703,TX,5.25,33651.08,04/07/2010,,
78745,TX,4.375,21989.0,05/03/2010,,
78759,TX,3.33,17120.0,03/19/2010,,
78745,TX,2.99,19435.0,02/22/2010,,
78759,TX,9.8,62610.75,02/03/2010,,
78759,TX,5.6,28172.36,02/22/2010,,
78723,TX,4.725,21169.14,04/08/2010,,
78745,TX,3.675,16573.41,03/19/2010,,
78734,TX,3.168,21126.78,02/01/2010,,
78738,TX,6.3,29315.75,04/05/2010,,
78748,TX,2.52,14281.88,05/26/2010,,
78733,TX,6.3,32852.98,03/17/2010,,
78731,TX,3.33,22024.0,02/04/2010,,
78723,TX,3.885,17680.44,12/30/2009,,
78735,TX,5.46,26220.13,05/19/2010,,
78734,TX,6.3,34071.0,02/05/2010,,
78733,TX,5.64,32994.0,04/26/2010,,
78617,TX,2.8,12290.58,05/18/2010,,
78729,TX,3.85,18674.04,12/30/2009,,
78727,TX,4.725,25114.34,11/16/2010,,
78727,TX,6.3,45413.0,06/22/2010,,
78746,TX,6.3,26711.03,03/01/2010,,
78723,TX,4.995,23196.0,12/30/2009,,
78731,TX,4.995,25972.0,01/20/2010,,
78741,TX,4.9,29890.0,06/08/2010,,
78704,TX,4.968,34776.0,04/26/2010,,
78735,TX,2.8,19941.89,12/30/2009,,
78721,TX,2.8,14946.56,06/14/2010,,
78762,TX,1.575,12244.09,04/08/2010,,
78762,TX,2.8,15752.03,04/26/2010,,
78731,TX,4.44,21712.0,04/28/2010,,
78704,TX,3.33,21340.78,12/30/2009,,
78762,TX,5.2,27382.75,02/19/2010,,
78730,TX,5.55,29634.0,06/01/2010,,
78730,TX,14.0,88130.0,07/13/2010,,
78704,TX,3.15,13964.7,12/29/2009,,
78762,TX,3.15,16961.83,02/19/2010,,
78721,TX,2.8,15818.92,02/19/2010,,
78721,TX,2.8,18464.0,02/19/2010,,
78721,TX,1.575,11730.92,02/19/2010,,
78762,TX,2.2,14626.89,02/19/2010,,
78704,TX,5.98,31938.16,03/10/2010,,
78732,TX,6.3,25843.04,12/30/2009,,
78734,TX,4.2,22020.0,01/21/2010,,
78759,TX,6.3,30019.63,03/02/2010,,
78753,TX,5.6,25963.91,04/07/2010,,
78758,TX,6.3,28790.97,05/10/2010,,
78753,TX,2.52,11858.14,04/13/2010,,
78754,TX,3.24,16617.05,03/08/2010,,
78723,TX,3.5,15911.0,02/04/2010,,
78736,TX,6.66,26403.22,01/03/2011,,
78736,TX,6.3,29051.0,02/16/2010,,
78702,TX,3.5,15110.0,03/05/2010,,
78759,TX,6.3,25853.0,01/21/2010,,
78731,TX,6.3,26788.0,12/29/2009,,
78723,TX,3.5,15540.0,01/13/2010,,
78746,TX,5.175,29216.62,03/04/2010,,
78749,TX,5.64,29789.0,04/02/2010,,
78704,TX,10.5,33000.0,12/30/2009,,
78702,TX,11.9,65030.1,01/20/2010,,
78759,TX,3.78,17387.0,12/29/2009,,
78732,TX,5.25,22494.07,12/30/2009,,
78759,TX,4.62,18234.67,12/30/2009,,
78746,TX,5.03,29009.25,05/12/2010,,
78703,TX,4.464,35078.86,03/16/2010,,
78759,TX,5.6,29963.12,12/01/2009,,
78723,TX,6.912,39313.0,12/16/2009,,
78746,TX,3.15,16479.69,02/03/2010,,
78723,TX,8.75,39247.72,03/01/2010,,
78731,TX,7.0,34361.34,01/04/2010,,
78704,TX,3.33,20300.0,09/29/2010,,
78723,TX,6.3,28291.75,02/02/2010,,
78738,TX,7.175,38740.2,11/30/2009,,
78731,TX,3.15,26019.53,01/21/2010,,
78702,TX,3.33,18477.6,10/14/2009,,
78703,TX,3.808,31493.7,01/08/2010,,
78703,TX,2.96,17120.0,01/07/2010,,
78703,TX,2.22,12840.0,01/07/2010,,
78703,TX,2.22,12840.0,01/07/2010,,
78703,TX,2.96,17120.0,01/07/2010,,
78703,TX,4.44,25663.2,08/12/2010,,
78703,TX,2.96,17120.0,01/07/2010,,
78703,TX,2.96,17120.0,01/07/2010,,
78703,TX,2.22,12840.0,01/07/2010,,
78703,TX,2.22,12840.0,01/07/2010,,
78703,TX,2.22,12840.0,01/07/2010,,
78703,TX,2.96,17120.0,01/07/2010,,
78703,TX,2.96,17120.0,01/07/2010,,
78703,TX,4.44,25663.2,08/12/2010,,
78703,TX,2.22,12840.0,01/07/2010,,
78703,TX,2.22,12840.0,01/07/2010,,
78703,TX,2.22,12840.0,01/07/2010,,
78703,TX,2.22,12840.0,01/07/2010,,
78703,TX,2.22,12840.0,01/07/2010,,
78703,TX,2.22,12840.0,01/07/2010,,
78703,TX,2.22,12840.0,01/07/2010,,
78703,TX,2.22,12840.0,01/07/2010,,
78703,TX,2.22,12840.0,01/07/2010,,
78754,TX,7.7,37780.32,12/29/2009,,
78730,TX,7.36,43735.5,12/21/2009,,
78750,TX,8.8,44877.0,11/03/2009,,
78735,TX,10.5,58680.69,12/02/2010,,
78746,TX,3.15,21783.88,11/10/2009,,
78723,TX,4.725,22824.9,11/30/2009,,
78732,TX,9.66,56074.02,11/24/2009,,
78723,TX,6.3,28261.12,06/10/2010,,
78723,TX,7.0,34595.37,10/28/2009,,
78723,TX,8.75,39585.62,12/16/2009,,
78723,TX,5.775,28887.31,12/03/2009,,
78723,TX,8.75,39247.72,12/10/2009,,
78729,TX,4.725,27181.12,11/04/2009,,
78745,TX,3.33,19157.47,09/25/2009,,
78747,TX,3.675,20598.81,11/05/2009,,
78756,TX,3.85,19212.0,12/23/2009,,
78759,TX,5.25,27437.82,12/01/2009,,
78750,TX,10.32,60607.0,12/21/2009,,
78747,TX,3.33,47352.0,09/23/2009,,
78702,TX,4.56,29278.01,10/02/2009,,
78759,TX,3.15,17481.95,10/12/2009,,
78731,TX,7.35,36728.59,11/09/2009,,
78733,TX,12.95,70017.0,10/12/2009,,
78703,TX,3.15,25289.04,11/25/2009,,
78723,TX,12.425,56535.48,11/25/2009,,
78750,TX,3.15,16684.88,12/21/2009,,
78746,TX,3.15,18959.2,10/09/2009,,
78727,TX,2.16,14507.06,11/23/2009,,
78704,TX,3.33,19000.0,04/28/2010,,
78704,TX,3.33,19000.0,04/28/2010,,
78704,TX,3.33,19000.0,04/28/2010,,
78704,TX,3.33,18714.48,01/20/2010,,
78704,TX,3.33,19000.0,04/28/2010,,
78704,TX,3.33,19000.0,04/28/2010,,
78704,TX,3.33,19000.0,04/28/2010,,
78704,TX,3.33,18714.48,01/07/2010,,
78704,TX,3.33,19000.0,04/28/2010,,
78704,TX,3.33,19000.0,04/28/2010,,
78704,TX,3.33,19000.0,04/28/2010,,
78704,TX,3.33,17485.0,02/04/2010,,
78704,TX,3.33,17485.0,03/05/2010,,
78704,TX,3.33,18714.48,08/24/2009,,
78704,TX,3.33,19000.0,04/28/2010,,
78704,TX,3.33,19000.0,04/28/2010,,
78704,TX,3.33,17485.0,03/03/2010,,
78704,TX,3.33,18714.48,01/07/2010,,
78703,TX,14.4,69935.97,01/08/2010,,
78734,TX,3.15,16881.75,12/02/2009,,
78749,TX,2.88,21931.97,09/21/2009,,
78744,TX,4.2,26212.0,09/29/2009,,
78748,TX,5.25,29690.0,10/19/2009,,
78759,TX,7.175,37055.18,10/19/2009,,
78721,TX,3.15,20230.56,09/01/2009,,
78721,TX,2.8,18975.12,12/11/2009,,
78721,TX,3.15,20230.56,09/01/2009,,
78721,TX,2.72,18019.37,09/01/2009,,
78721,TX,3.15,20230.56,02/19/2010,,
78746,TX,5.7,35066.0,08/20/2009,,
78745,TX,3.325,19408.63,12/02/2009,,
78733,TX,14.0,80740.13,11/02/2009,,
78746,TX,7.875,39154.86,11/05/2009,,
78731,TX,8.8,50200.0,10/16/2009,,
78732,TX,9.2,45540.0,03/17/2010,,
78734,TX,13.475,72896.24,10/19/2009,,
78727,TX,2.45,12397.0,10/12/2009,,
78750,TX,8.19,41658.0,09/21/2009,,
78750,TX,4.62,24486.34,11/18/2009,,
78746,TX,7.77,48162.5,10/07/2009,,
78732,TX,3.15,19485.98,10/19/2009,,
78749,TX,3.15,19644.11,09/09/2009,,
78747,TX,3.85,22626.22,07/27/2009,,
78748,TX,7.56,41423.6,09/09/2009,,
78749,TX,6.3,37143.57,09/09/2009,,
78759,TX,9.0,64027.24,10/15/2009,,
78731,TX,3.15,20264.03,08/04/2009,,
78758,TX,3.456,22257.0,08/26/2009,,
78730,TX,3.12,21102.91,08/19/2009,,
78753,TX,10.368,52823.0,09/21/2009,,
78760,TX,0.7,4147.56,11/23/2009,,
78759,TX,3.15,18663.96,11/23/2009,,
78731,TX,3.15,19793.57,08/21/2009,,
78746,TX,4.92,28913.0,08/06/2009,,
78730,TX,8.4,47976.75,10/01/2009,,
78746,TX,2.45,14940.0,10/13/2009,,
78753,TX,6.048,30058.56,10/22/2009,,
78758,TX,3.78,25620.86,11/10/2009,,
78704,TX,4.32,26847.93,06/24/2009,,
78731,TX,3.08,22026.95,10/02/2009,,
78728,TX,5.95,31803.1,09/18/2009,,
78703,TX,4.68,31532.6,07/13/2009,,
78746,TX,4.05,32873.68,06/16/2009,,
78704,TX,5.52,39343.8,07/23/2009,,
78731,TX,7.0,49877.37,09/11/2009,,
78731,TX,10.85,70850.62,08/18/2009,,
78746,TX,5.6,39208.83,08/18/2009,,
78703,TX,13.325,112251.26,02/23/2010,,
78749,TX,2.775,17271.31,08/24/2009,,
78727,TX,2.16,14060.44,07/13/2009,,
78732,TX,7.14,48025.26,12/04/2009,,
78730,TX,8.19,54202.79,10/20/2009,,
78746,TX,3.2,22000.0,02/16/2010,,
78727,TX,5.76,37810.73,07/15/2009,,
78704,TX,4.2,30538.26,07/23/2009,,
78757,TX,3.15,22955.98,06/24/2009,,
78730,TX,3.85,26195.84,07/28/2009,,
78733,TX,10.08,54250.0,09/18/2009,,
78734,TX,3.15,20129.76,05/26/2009,,
78723,TX,7.8,51846.77,06/10/2009,,
78759,TX,3.15,22153.65,05/26/2009,,
78746,TX,4.4,31900.0,08/05/2009,,
78756,TX,4.5,28125.0,11/09/2009,,
78749,TX,1.48,19500.0,07/22/2009,,
78733,TX,5.775,34306.64,08/31/2009,,
78750,TX,3.96,25017.72,07/17/2009,,
78757,TX,3.15,19308.26,06/19/2009,,
78746,TX,6.3,38250.0,11/16/2009,,
78731,TX,6.3,39773.83,05/26/2009,,
78725,TX,3.15,22512.0,07/15/2009,,
78733,TX,13.65,112772.82,07/23/2009,,
78730,TX,7.0,44343.36,06/29/2009,,
78735,TX,2.0,15827.0,06/24/2009,,
78732,TX,3.15,22081.5,09/08/2009,,
78750,TX,6.825,44578.27,06/26/2009,,
78744,TX,3.15,20227.18,08/21/2009,,
78746,TX,8.0,57708.0,06/30/2009,,
78731,TX,3.2,23747.91,05/19/2009,,
78751,TX,4.2,26558.96,06/10/2009,,
78728,TX,5.346,33000.0,07/29/2009,,
78753,TX,6.15,36002.39,07/29/2009,,
78729,TX,4.55,30986.34,10/23/2009,,
78754,TX,5.775,34998.2,09/11/2009,,
78732,TX,11.16,74434.66,07/21/2009,,
78749,TX,7.7,53274.34,06/26/2009,,
78748,TX,3.24,21534.45,06/08/2009,,
78732,TX,4.2,23009.25,10/01/2009,,
78732,TX,6.235,36658.0,10/01/2009,,
78732,TX,6.3,34358.0,10/01/2009,,
78745,TX,3.15,22945.0,06/19/2009,,
78723,TX,3.15,22421.0,06/24/2009,,
78721,TX,4.725,26203.78,08/21/2009,,
78730,TX,3.24,20714.0,07/22/2009,,
78733,TX,4.2,27554.36,05/01/2009,,
78703,TX,4.375,33312.56,05/21/2009,,
78745,TX,3.15,23120.86,04/10/2009,,
78728,TX,3.15,20732.36,09/09/2009,,
78724,TX,3.24,26515.0,07/22/2009,,
78727,TX,3.24,20714.0,07/21/2009,,
78729,TX,4.2,26050.0,07/29/2009,,
78759,TX,8.405,45246.0,09/23/2009,,
78734,TX,3.15,23305.28,07/29/2009,,
78723,TX,6.3,36361.0,08/05/2009,,
78746,TX,9.75,60520.42,07/14/2009,,
78745,TX,3.456,27063.75,09/01/2009,,
78703,TX,3.15,19466.27,05/10/2010,,
78727,TX,5.4,35984.97,08/10/2009,,
78702,TX,3.15,22089.0,04/19/2010,,
78754,TX,3.24,21304.0,06/23/2009,,
78701,TX,3.2,24299.68,05/19/2009,,
78728,TX,2.52,17245.67,07/21/2009,,
78727,TX,3.15,24901.0,04/05/2010,,
78727,TX,4.928,26472.7,05/05/2010,,
78731,TX,3.15,22659.83,05/27/2009,,
78745,TX,2.376,16656.19,06/08/2009,,
