Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=AZ
85650,AZ,9.0,28464.73,01/11/2012,,
85630,AZ,6.0,25200.0,11/14/2012,,
85602,AZ,12.925,20088.0,03/16/2012,,
85635,AZ,6.0,23435.0,12/12/2012,,
85624,AZ,4.5,10300.0,05/09/2012,,
85615,AZ,10.2,25920.0,07/03/2012,,
85602,AZ,9.165,26830.56,12/28/2012,,
85624,AZ,6.0,23500.0,12/12/2012,,
85650,AZ,5.04,31240.0,12/05/2012,,
85615,AZ,2.07,24000.0,04/11/2012,,
85610,AZ,4.32,26995.0,12/05/2012,,
85602,AZ,6.96,27500.0,10/10/2012,,
85635,AZ,8.415,35227.5,11/21/2012,,
85635,AZ,4.0,19940.0,09/19/2012,,
85602,AZ,0.7,7742.55,07/20/2012,,
85650,AZ,2.88,14256.0,08/08/2012,,
85602,AZ,7.91,46000.0,09/14/2012,,
85616,AZ,6.02,16998.0,07/11/2012,,
85213,AZ,6.5,30504.91165,07/30/2014,,
85650,AZ,2.88,13680.0,08/17/2012,,
85638,AZ,7.04,48000.0,05/10/2012,,
85635,AZ,4.84,24558.0,08/15/2012,,
85630,AZ,5.1,19606.82,06/08/2012,,
85616,AZ,1.32,16150.0,05/03/2012,,
85638,AZ,1.26,4183.0,07/27/2012,,
85635,AZ,6.0,26000.0,07/25/2012,,
85650,AZ,5.76,35560.0,08/29/2012,,
85650,AZ,2.82,14100.0,05/16/2012,,
85650,AZ,4.08,21624.0,02/22/2012,,
85637,AZ,5.5,61493.0,03/26/2012,,
85625,AZ,0.27,1068.05,02/16/2012,,
85616,AZ,0.35,1724.85,05/09/2012,,
85638,AZ,4.2,37524.89,09/10/2012,,
85615,AZ,9.12,40500.0,03/16/2012,,
85602,AZ,1.68,18450.0,03/30/2012,,
85643,AZ,4.23,23500.0,04/11/2012,,
85650,AZ,6.0,27250.0,04/25/2012,,
85638,AZ,4.22,11234.79,05/21/2012,,
85609,AZ,0.48,4173.0,02/15/2012,,
85615,AZ,1.92,13852.0,02/15/2012,,
85638,AZ,4.14,17315.35,04/20/2012,,
85643,AZ,6.84,32447.98,05/31/2012,,
85611,AZ,6.72,34608.0,05/09/2012,,
85611,AZ,4.48,22400.0,01/11/2012,,
85650,AZ,0.9,4263.88,02/09/2012,,
85630,AZ,5.4,29945.0,02/14/2012,,
85630,AZ,5.76,27218.0,02/09/2012,,
85637,AZ,10.34,72380.0,01/04/2012,,
85650,AZ,4.32,22464.0,01/25/2012,,
85635,AZ,25.92,133922.68,11/06/2012,,
85611,AZ,1.76,11000.0,11/07/2012,,
85635,AZ,12.5,75000.0,11/07/2012,,
85635,AZ,12.48,72000.0,11/30/2012,,
85616,AZ,11.04,64525.0,09/12/2012,,
85643,AZ,1.05,9123.07,07/05/2012,,
85248,AZ,3.995,21483.60248,09/12/2012,,
85635,AZ,24.0,,04/30/2012,,
85610,AZ,29.7,,06/28/2012,,
85606,AZ,24.0,,02/16/2012,,
85624,AZ,24.0,,05/16/2012,,
85632,AZ,30.36,,01/19/2012,,
85132,AZ,0.7,10369.0,01/09/2012,,
85602,AZ,5.88,32200.0,01/31/2012,,
85605,AZ,24.0,,01/19/2012,,
85602,AZ,2.5,17400.0,05/12/2012,,
85602,AZ,1.5,17400.0,05/23/2012,,
85611,AZ,12.0,,01/06/2012,,
85611,AZ,12.0,,01/06/2012,,
85605,AZ,1.344,9040.0,10/24/2012,,
85610,AZ,2.53,23240.0,05/02/2012,,
85615,AZ,9.8,,11/28/2012,,
85650,AZ,6.63,,11/21/2012,,
85650,AZ,6.0,31000.0,08/08/2012,,
85625,AZ,8.4,24534.0,06/15/2012,,
