Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=LA
70520,LA,18.0,,07/13/2009,,
70577,LA,3.15,,07/24/2009,,
70117,LA,6.3,,06/16/2004,,
70117,LA,45,,01/18/2008,,
70767,LA,1.0,,06/25/2009,,
70420,LA,0.4,,02/10/2006,,
70726,LA,6.3,,01/02/2009,,
70816,LA,2.76,,12/15/2009,,
70127,LA,1.0,,10/11/2007,,
71360,LA,0.7,,08/01/2008,,
70726,LA,3.15,,08/07/2009,,
70810,LA,3.15,,11/03/2009,,
70003,LA,0.5,,05/25/2006,,
70808,LA,1.0,,02/25/2001,,
70124,LA,3.15,,04/29/2008,,
70433,LA,84.0,199585.0,09/20/2013,,
70582,LA,2.4,,04/01/2008,,
70433,LA,3.15,,04/06/2009,,
70765,LA,32.0,,06/05/2008,,
70722,LA,3.15,,08/31/2009,,
70503,LA,3.15,,02/25/2009,,
70806,LA,2.3,,01/03/2009,,
71362,LA,6.3,,10/12/2009,,
70806,LA,3.45,,12/08/2009,,
70791,LA,3.15,,07/02/2008,,
70403,LA,3.6,,07/29/2009,,
