Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=VT
05663,VT,4.251,20617.0,11/20/2012,,
05461,VT,3.924,21833.0,10/08/2012,,
05495,VT,3.27,20175.0,10/09/2012,,
05465,VT,3.27,9979.0,10/09/2012,,
05148,VT,4.0,20000.0,10/25/2012,,
05602,VT,4.32,25140.0,11/06/2012,,
05677,VT,5.88,36800.0,11/07/2012,,
05701,VT,3.924,11874.0,10/08/2012,,
05680,VT,16.17,54909.0,10/31/2012,,
05676,VT,5.39,23069.0,10/23/2012,,
05673,VT,4.41,21256.0,09/12/2012,,
05403,VT,6.125,24560.0,10/19/2012,,
05472,VT,5.145,22330.0,10/04/2012,,
05352,VT,5.88,26166.0,10/24/2012,,
05487,VT,6.0,28500.0,08/31/2012,,
05602,VT,2.45,15680.0,09/27/2012,,
05735,VT,3.06,13150.0,09/28/2012,,
05743,VT,6.0,23700.0,11/23/2012,,
05676,VT,7.5,30000.0,11/06/2012,,
05673,VT,3.27,9821.0,10/10/2012,,
05641,VT,11.96,28232.0,10/24/2012,,
05403,VT,10.0,40000.0,09/27/2012,,
05676,VT,10.965,43000.0,11/13/2012,,
05828,VT,7.35,30492.0,08/24/2012,,
05071,VT,4.75,21606.0,09/14/2012,,
05486,VT,5.1,17159.0,09/24/2012,,
05766,VT,6.0,31200.0,09/21/2012,,
05701,VT,3.92,21560.0,09/06/2012,,
05495,VT,8.16,37520.0,11/05/2012,,
05143,VT,11.52,56304.0,10/25/2012,,
05641,VT,9.0,46800.0,10/30/2012,,
05465,VT,5.232,14296.0,09/14/2012,,
05346,VT,1.47,7306.0,10/11/2012,,
05440,VT,10.0,51823.0,10/19/2012,,
05033,VT,6.0,33000.0,10/10/2012,,
05487,VT,4.83,22942.0,08/16/2012,,
05462,VT,4.905,25799.0,08/31/2012,,
05494,VT,3.924,19000.0,10/28/2012,,
05468,VT,5.28,23594.0,08/29/2012,,
05445,VT,3.0,14650.0,08/30/2012,,
05602,VT,3.27,9913.0,09/05/2012,,
05495,VT,5.232,15084.0,08/25/2012,,
05462,VT,3.924,21995.0,10/23/2012,,
05674,VT,3.27,10147.0,09/24/2012,,
05489,VT,7.848,21416.0,09/27/2012,,
05676,VT,6.867,31433.0,10/23/2012,,
05489,VT,7.848,19908.0,09/11/2012,,
05403,VT,5.232,13646.0,08/16/2012,,
05677,VT,4.905,13835.0,09/27/2012,,
05672,VT,3.27,18736.0,10/03/2012,,
05489,VT,4.578,23904.0,08/21/2012,,
05676,VT,6.867,33707.55,09/07/2012,,
05764,VT,5.76,27048.0,09/21/2012,,
05301,VT,17.331,79902.0,11/16/2012,,
05777,VT,5.145,19650.0,08/31/2012,,
05455,VT,7.5,32000.0,10/05/2012,,
05674,VT,9.81,45965.0,09/07/2012,,
05401,VT,4.578,12759.0,11/15/2012,,
05403,VT,5.886,36389.0,09/06/2012,,
05677,VT,9.81,45239.0,08/16/2012,,
05677,VT,5.232,14770.0,08/22/2012,,
05452,VT,11.772,59401.0,08/08/2012,,
05079,VT,4.5,27858.0,09/26/2012,,
05001,VT,3.185,17407.0,08/21/2012,,
05873,VT,2.5,14000.0,09/14/2012,,
05677,VT,6.37,32104.0,09/26/2012,,
05602,VT,3.6,16622.0,10/01/2012,,
05143,VT,2.94,21309.0,09/26/2012,,
05465,VT,4.8,19809.0,11/24/2012,,
05403,VT,5.886,36389.0,08/08/2012,,
05458,VT,6.12,23068.0,09/10/2012,,
05346,VT,5.88,29800.0,08/06/2012,,
05340,VT,5.16,10297.36,11/30/2012,,
05091,VT,12.24,45000.0,09/22/2012,,
05072,VT,3.825,26128.0,09/10/2012,,
05455,VT,4.41,22050.0,09/27/2012,,
