Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=FL
32608,FL,525,1039946.449,12/30/2013,,
32606,FL,9.9,51648.3038,09/07/2011,,
34134,FL,2.53,22673.59458,04/08/2010,,
32605,FL,8.1,28691.77654,01/17/2014,,
32304,FL,25.2,238712.9775,05/01/2010,,
32606,FL,8.74,54034.26216,07/12/2011,,
32605,FL,10.5,48247.34306,11/19/2013,,
32827,FL,7.14,22939.43718,02/13/2014,,
33825,FL,5.2,43946.3588,10/23/2009,,
33332,FL,4.928,53067.57807,10/27/2009,,
32034,FL,4.86,42622.54366,12/05/2009,,
32605,FL,4.62,42696.92846,07/02/2009,,
32935,FL,4.2,33669.69926,06/25/2010,,
32246,FL,3.5,23569.56504,12/31/2009,,
32312,FL,43.2,600580.5453,06/29/2010,,
32724,FL,5.4,47822.35236,08/11/2009,,
33565,FL,5.848,33462.43832,09/25/2009,,
33458,FL,5.04,50565.73712,09/21/2009,,
34731,FL,5.46,60814.95909,12/22/2009,,
32169,FL,6,82008.00368,07/13/2009,,
32304,FL,25.305,239312.9655,03/15/2010,,
32141,FL,4.86,30063.14492,04/24/2010,,
33040,FL,3.87,40042.4476,04/09/2010,,
32807,FL,7.1,31656.70306,09/14/2010,,
32114,FL,3.584,33155.72359,03/05/2010,,
32837,FL,4.9,26702.92066,06/09/2008,,
33311,FL,26.928,234335.2558,03/24/2010,,
32907,FL,2.28,27103.46651,01/20/2006,,
33433,FL,5.2,38389.50304,08/24/2009,,
34682,FL,5.535,32754.99691,01/28/2010,,
32223,FL,6,40780.82881,12/29/2009,,
32960,FL,24,314162.6137,01/31/2010,,
32459,FL,3.78,27246.41718,12/29/2009,,
32420,FL,2.1,21321.64892,04/12/2010,,
34761,FL,6.534,46834.80148,10/29/2009,,
32303,FL,4.86,43773.12439,11/12/2009,,
33898,FL,7.38,46042.87123,12/23/2009,,
33594,FL,2.1,23660.29843,07/27/2009,,
32606,FL,25.2,245619.6257,10/10/2008,,
33982,FL,24.64,178261.4878,09/02/2009,,
34677,FL,3.895,24962.01492,01/18/2010,,
32950,FL,4,16498.69553,12/10/2009,,
32351,FL,4.928,39486.34599,08/24/2009,,
32707,FL,5.06,43267.14385,12/21/2009,,
32828,FL,6.875,27056.8604,11/19/2014,,
33710,FL,8.28,58373.64703,04/29/2010,,
32766,FL,5.328,38255.74434,07/17/2009,,
33920,FL,6.04,63429.53642,12/22/2009,,
32038,FL,7.38,30028.9105,11/02/2009,,
32605,FL,4.56,28129.65822,10/04/2011,,
33606,FL,5.52,45000.82218,02/15/2010,,
32578,FL,4.68,38028.86108,08/21/2009,,
33914,FL,5.98,43007.09472,11/25/2009,,
32609,FL,500.08,1997160.04,08/30/2011,,
34482,FL,5.06,44154.53781,10/06/2009,,
33920,FL,4.8,45193.4701,09/01/2009,,
33859,FL,25.01,186585.1928,06/29/2009,,
32312,FL,39.48,478111.9018,06/30/2010,,
32608,FL,69.3,407643.9058,01/05/2011,,
32605,FL,4.995,31020.64101,04/28/2011,,
32608,FL,9.88,50405.56209,05/16/2011,,
32641,FL,104.16,624171.0093,12/30/2011,,
32605,FL,5.886,21068.96858,10/15/2014,,
32825,FL,4.928,39098.15471,11/20/2009,,
32608,FL,2.4,19590.43732,12/19/2012,,
34952,FL,5,48292.63815,06/26/2009,,
33334,FL,10.12,80189.38866,09/12/2009,,
32784,FL,3.6,33585.33471,06/24/2009,,
32804,FL,3.42,,05/16/2014,,
34286,FL,3.2,28286.50078,10/29/2009,,
33991,FL,5.04,34639.89615,07/30/2010,,
32601,FL,74.2,348578.0274,09/18/2009,,
34491,FL,5.04,39366.6549,12/24/2009,,
34114,FL,4,32356.86685,08/03/2009,,
32607,FL,5.52,31956.92849,04/20/2011,,
33471,FL,3.26,10962.58839,12/08/2009,,
32952,FL,3.485,27465.67182,04/14/2010,,
32907,FL,3.456,21551.83528,07/15/2009,,
32605,FL,2.3,14587.52047,01/26/2011,,
33905,FL,4.92,38369.05936,12/07/2009,,
32607,FL,5,14978.74064,04/01/2014,,
32607,FL,10.2,25341.47448,10/28/2013,,
32792,FL,4.928,38027.90182,11/30/2009,,
33306,FL,4.928,47573.18667,04/01/2010,,
32641,FL,54,219815.2661,02/17/2014,,
32086,FL,3,40220.74845,07/13/2009,,
32653,FL,10,22397.83943,04/02/2013,,
32606,FL,5.25,33974.71019,08/12/2009,,
32784,FL,3.6,33585.33471,06/24/2009,,
32653,FL,32.205,88525.93321,04/15/2013,,
32137,FL,5.25,50952.69397,07/30/2009,,
32738,FL,3.5,27187.2192,12/29/2009,,
34221,FL,5,43511.44828,03/11/2010,,
32606,FL,5.06,47524.01108,08/26/2009,,
32162,FL,3.6,29681.18096,07/16/2009,,
32082,FL,25.2,162917.8997,06/25/2010,,
33478,FL,5.32,43736.67702,09/24/2009,,
34683,FL,5.125,31044.79863,04/08/2010,,
33040,FL,2.76,27147.50308,04/27/2010,,
32609,FL,4.8,,06/14/2004,,
32316,FL,34.32,81458.94983,06/29/2010,,
33948,FL,4.48,36699.34704,09/15/2009,,
33596,FL,5.04,38475.60494,07/13/2009,,
32583,FL,2.1,17329.7255,12/23/2009,,
32609,FL,52.2,221448.9142,12/20/2013,,
34236,FL,6.24,43728.65502,04/30/2010,,
32207,FL,4.86,34195.50122,06/30/2009,,
32162,FL,5.16,37409.66407,02/03/2010,,
32725,FL,5.06,47139.13007,12/18/2009,,
32653,FL,24.84,181363.0087,07/02/2009,,
34683,FL,5.17,38290.07448,03/24/2010,,
33980,FL,3.136,27947.55822,08/01/2009,,
34984,FL,2.3,21491.37362,07/10/2009,,
32534,FL,5.26,31505.38277,12/23/2009,,
34683,FL,5.04,31991.87922,05/20/2010,,
34205,FL,21.87,169644.0297,01/05/2010,,
33853,FL,25.01,186881.5097,07/01/2009,,
33334,FL,4.92,33984.02401,12/29/2009,,
32312,FL,43.2,600580.5453,06/27/2010,,
33991,FL,4.92,36660.57075,03/30/2010,,
34135,FL,5,32577.0037,04/07/2010,,
32246,FL,25.11,191191.9035,01/20/2010,,
34655,FL,5.06,40248.08966,03/19/2010,,
33928,FL,5.06,39661.77289,03/15/2010,,
32605,FL,5.06,30752.77365,07/22/2011,,
32901,FL,4.94,35573.59932,12/01/2009,,
32724,FL,4.9,42928.02287,10/21/2009,,
32780,FL,4.8,36408.91531,07/01/2009,,
32746,FL,5.04,54389.31035,03/15/2010,,
34110,FL,5.16,40057.29797,12/04/2009,,
32641,FL,8.36,51742.20313,12/30/2011,,
32606,FL,10.07,31110.58944,01/09/2014,,
33928,FL,3.15,23412.86033,05/06/2010,,
33936,FL,5.33,42324.67353,03/04/2010,,
32605,FL,5.06,26196.65194,07/05/2011,,
34769,FL,4.86,25061.93071,11/19/2014,,
32605,FL,6.24,22103.29452,01/30/2014,,
32609,FL,5,13937.81097,10/22/2013,,
32922,FL,5.06,43565.67648,09/01/2009,,
34731,FL,5.32,35214.05387,09/08/2009,,
32266,FL,5.25,44508.10886,12/23/2009,,
32003,FL,4.8,43698.22289,08/26/2009,,
32038,FL,3.28,21536.3772,11/09/2009,,
34432,FL,5.04,35782.20715,02/03/2010,,
32605,FL,5.98,31577.99258,04/14/2011,,
33478,FL,4.92,44946.61239,12/10/2009,,
34432,FL,5.04,35850.18888,11/24/2009,,
32754,FL,5.18,41191.93677,08/17/2009,,
32780,FL,2,15170.38138,07/01/2009,,
33477,FL,5.2,40009.74214,09/30/2009,,
33801,FL,5.18,38985.65342,10/15/2009,,
32608,FL,50.4,224242.3381,01/09/2009,,
33844,FL,4.928,41069.98423,01/05/2009,,
32333,FL,26.528,163857.7225,06/30/2009,,
33431,FL,5.2,43256.55366,10/13/2009,,
34234,FL,7,74223.53733,05/06/2009,,
33914,FL,5.06,28645.5573,05/20/2010,,
33956,FL,5.601,68424.18703,02/12/2010,,
34949,FL,6.032,68706.52471,06/15/2007,,
32832,FL,3.6,19849.04913,11/05/2014,,
32609,FL,43.6,226816.4016,12/29/2011,,
32606,FL,25.432,271711.2905,04/27/2009,,
32119,FL,2.07,20648.72558,01/15/2010,,
34239,FL,4.18,44970.56071,08/07/2009,,
34293,FL,5,43773.12439,11/29/2009,,
34238,FL,19.2,195971.7011,01/29/2010,,
32024,FL,5.06,47100.36387,10/23/2009,,
32607,FL,6.9,34853.53274,03/23/2011,,
32605,FL,7,22268.93624,08/20/2013,,
32083,FL,4.86,36655.38754,12/28/2009,,
32141,FL,5.94,33225.3419,03/03/2010,,
33036,FL,6.6,64502.46733,04/02/2010,,
32225,FL,7,65212.78311,03/19/2010,,
32336,FL,5.25,34052.2161,10/12/2009,,
32792,FL,5.17,39298.72547,04/08/2010,,
33827,FL,5.04,37398.288,07/21/2009,,
32825,FL,6.48,51359.7266,12/21/2009,,
32708,FL,5.148,40843.60804,11/24/2009,,
32216,FL,3.68,32446.25664,09/16/2009,,
34285,FL,5,57516.31624,12/26/2009,,
32605,FL,14.4,137205.015,09/30/2008,,
33596,FL,5.184,50859.4441,03/10/2010,,
32605,FL,7.5,22359.77071,01/11/2013,,
32603,FL,6.45,33682.90649,01/04/2012,,
32606,FL,6.867,34286.33732,04/17/2014,,
32605,FL,8.28,50378.46815,12/30/2011,,
33478,FL,5.04,49244.76494,11/30/2009,,
33905,FL,5.06,26441.668,04/01/2010,,
33186,FL,5,39867.23324,02/25/2010,,
32724,FL,3,31719.48278,06/16/2009,,
32217,FL,2.7,26078.0246,06/30/2009,,
32136,FL,2.1,23085.36297,07/24/2009,,
32162,FL,5.88,45122.01381,12/30/2009,,
32759,FL,5.4,33599.93872,10/15/2009,,
32608,FL,27.675,108836.5415,12/30/2011,,
32526,FL,2.52,21287.26376,12/03/2009,,
32828,FL,4.95,39487.24338,12/14/2009,,
33872,FL,5.64,43302.22414,12/09/2009,,
34119,FL,9.48,66913.1656,04/20/2010,,
32750,FL,24.84,191325.1916,01/29/2010,,
33432,FL,4.92,39942.97601,11/05/2009,,
32162,FL,7.6,49984.77374,09/29/2009,,
32578,FL,5.4,31791.50633,12/16/2009,,
33321,FL,25.38,200457.1628,04/20/2010,,
34787,FL,5.148,41197.40717,12/08/2009,,
34420,FL,5.4,40006.06047,06/22/2009,,
32837,FL,5,41040.13002,09/25/2009,,
34436,FL,5.2,40060.93846,06/25/2009,,
33825,FL,4.928,40674.21094,07/25/2009,,
32641,FL,26.1,108899.3062,02/17/2014,,
34212,FL,5.376,39734.23249,08/03/2009,,
32653,FL,5.52,34157.14041,06/29/2011,,
32569,FL,5.04,37543.57646,12/28/2009,,
33462,FL,3,24311.27826,10/14/2009,,
33019,FL,5.06,50088.20368,03/26/2010,,
33972,FL,4.8,36795.44817,10/13/2009,,
33312,FL,5.2,41540.69505,11/10/2009,,
32827,FL,8.1,25285.50023,12/31/2014,,
32605,FL,4.752,30577.7876,08/27/2009,,
32608,FL,27.675,108836.5415,12/30/2011,,
34242,FL,20,137338.1778,11/18/2009,,
32608,FL,4.18,26381.13783,02/10/2011,,
32775,FL,5.06,43444.77324,06/11/2010,,
32607,FL,5.06,28816.31714,07/05/2011,,
32825,FL,5.06,49408.45561,04/16/2010,,
33843,FL,10.2,95318.40165,04/10/2010,,
34747,FL,4.92,35058.35767,12/28/2009,,
32952,FL,7.755,51704.65399,03/30/2010,,
32967,FL,4.2,22943.02842,01/01/2010,,
34207,FL,5.04,47270.02893,07/18/2009,,
34251,FL,4.94,48039.54103,07/25/2009,,
34491,FL,5.4,54877.9979,06/10/2009,,
32578,FL,6.3,39662.64479,12/05/2009,,
32321,FL,2.04,25613.75986,07/30/2009,,
34223,FL,2.5,21850.50326,01/10/2010,,
34787,FL,5.148,45100.70648,10/01/2009,,
32724,FL,3.17,24663.53967,09/17/2009,,
32601,FL,51.975,311036.4777,12/29/2011,,
32312,FL,52.64,757546.511,06/30/2010,,
32640,FL,3.78,36057.13835,07/12/2009,,
33414,FL,5.07,57731.35044,07/23/2010,,
33956,FL,6.16,48458.73443,05/08/2010,,
34695,FL,4.51,29435.49476,03/01/2010,,
32653,FL,8.17,45049.86635,05/11/2011,,
34275,FL,2.145,24663.53967,09/22/2009,,
32606,FL,9.12,64980.20586,09/04/2009,,
32641,FL,52.2,219815.2661,02/17/2014,,
32250,FL,5,34482.82276,03/19/2010,,
32835,FL,5.148,42281.91232,10/26/2009,,
32720,FL,5.04,34265.26552,03/19/2010,,
33950,FL,46.8,589187.0308,05/13/2010,,
32667,FL,10.34,67442.74483,03/19/2010,,
33411,FL,3.075,24475.18966,03/08/2010,,
32789,FL,40.25,482706.8845,12/18/2009,,
34209,FL,2.2,15878.98805,10/26/2009,,
32827,FL,9.9,26571.28731,04/29/2014,,
32608,FL,27.675,108836.5415,12/30/2011,,
34786,FL,5.4,31936.21249,12/22/2009,,
33706,FL,3.45,26102.86717,04/30/2010,,
34491,FL,5.04,48865.50555,04/26/2010,,
32082,FL,5.184,52269.62144,12/15/2009,,
32119,FL,4.86,40923.60489,03/02/2010,,
32218,FL,2.1,19540.77272,04/20/2010,,
32812,FL,5.4,58060.08204,05/04/2007,,
32608,FL,10.12,58325.58776,12/30/2010,,
34951,FL,5.06,46040.67872,12/02/2009,,
32819,FL,30.096,266856.0624,12/23/2009,,
32835,FL,5.18,36995.30951,09/02/2009,,
32127,FL,2.464,25937.0451,08/21/2009,,
32097,FL,3.325,27362.62062,12/11/2009,,
32132,FL,4.2,37452.50975,10/15/2009,,
33897,FL,5.06,40215.45607,03/22/2010,,
32607,FL,2.66,16870.78454,01/21/2011,,
32641,FL,50.4,309987.4508,12/23/2011,,
33905,FL,3,23965.78561,11/18/2009,,
32606,FL,4.752,38365.50616,09/11/2009,,
33813,FL,4.92,35696.56696,07/16/2009,,
32750,FL,5.06,42382.32619,03/26/2010,,
33455,FL,5.07,52909.45331,07/22/2009,,
32162,FL,5.04,38484.44099,02/10/2010,,
32832,FL,5.52,46468.30106,09/14/2009,,
34744,FL,4.1,29215.29806,12/30/2009,,
32183,FL,5.06,38432.78937,05/27/2010,,
32653,FL,7.5,27065.73578,12/27/2012,,
32757,FL,5.544,45230.15048,03/12/2010,,
32578,FL,5.04,39608.54856,09/02/2009,,
32092,FL,3.6,31901.13221,12/30/2009,,
32606,FL,102.81,624171.0093,12/29/2011,,
34285,FL,21.87,161817.4838,09/15/2009,,
33411,FL,4.2,36878.01459,06/29/2009,,
32605,FL,3.85,25899.99005,01/30/2009,,
32714,FL,5.06,44004.92605,12/09/2009,,
32926,FL,5.06,41223.86244,07/17/2009,,
33957,FL,5.06,43702.35861,12/29/2009,,
32606,FL,286.935,1251489.099,12/02/2011,,
32829,FL,5.28,38301.48384,11/05/2009,,
32601,FL,2.1,10966.5277,01/31/2012,,
32607,FL,25.2,216380.0471,06/06/2008,,
34212,FL,5,43701.00652,01/22/2010,,
34275,FL,5.06,46414.83245,11/30/2009,,
32316,FL,9.24,90147.90448,06/17/2010,,
32810,FL,4.928,40877.14284,08/05/2009,,
33458,FL,5.06,51416.29379,06/01/2009,,
32052,FL,2.16,23580.04931,07/03/2009,,
32601,FL,3.3,11731.72237,11/18/2013,,
32080,FL,4.1,25871.7086,12/07/2009,,
32550,FL,2.73,24329.93481,02/19/2010,,
32211,FL,2,18636.40026,12/01/2009,,
32825,FL,5.28,49279.61809,10/09/2009,,
32605,FL,25.2,234842.7204,02/10/2008,,
34145,FL,2.1,15346.20246,09/11/2009,,
32113,FL,7.92,78234.0738,06/01/2009,,
32547,FL,5.07,30660.68327,10/01/2009,,
32317,FL,3.24,20459.03855,02/28/2009,,
32641,FL,4.8,32926.79874,06/05/2009,,
32653,FL,47.088,202850.394,10/02/2013,,
34293,FL,5.46,53775.28332,11/23/2009,,
34786,FL,5.04,35432.92103,04/26/2010,,
33936,FL,5.16,43663.69158,11/30/2009,,
32827,FL,6.21,36325.22222,12/19/2014,,
34606,FL,5.06,32034.05364,04/27/2010,,
34474,FL,5.04,32837.61973,04/29/2010,,
32608,FL,27.675,108836.5415,12/30/2011,,
34243,FL,5.07,49468.63493,07/17/2009,,
33813,FL,6,55744.76196,12/01/2009,,
32459,FL,5.04,51187.02449,06/26/2009,,
32765,FL,5.184,41037.30412,11/21/2009,,
33486,FL,5.2,39461.66348,09/14/2009,,
34232,FL,6,65659.68659,11/04/2009,,
34744,FL,5.61,19410.293,02/03/2014,,
33904,FL,6,39092.40444,04/13/2010,,
34773,FL,4,18697.7192,09/24/2014,,
32606,FL,49.68,278774.9335,01/06/2011,,
33327,FL,2.52,20051.89011,05/17/2010,,
32750,FL,24.84,191325.1916,01/29/2010,,
34748,FL,4.95,38387.23047,02/15/2010,,
32738,FL,5.25,43174.34832,09/16/2009,,
34498,FL,5.04,34532.15343,12/01/2009,,
32607,FL,50.4,242167.0899,07/24/2012,,
32607,FL,10.2,27427.1591,12/09/2013,,
32322,FL,5.2,31807.76489,06/10/2010,,
33956,FL,5.29,42149.11641,05/07/2010,,
34990,FL,4.92,38848.6479,11/05/2009,,
32608,FL,6.6,23032.18845,10/29/2014,,
32601,FL,10.12,58049.08661,01/11/2011,,
32054,FL,5.25,42804.83836,06/26/2009,,
32605,FL,6,20316.41414,12/13/2013,,
33844,FL,11.7,78710.17903,05/10/2010,,
32808,FL,5.61,26906.35556,06/16/2014,,
33076,FL,4.8,49504.08745,07/16/2009,,
32244,FL,5.04,45698.63251,10/21/2009,,
33437,FL,4.92,39239.13376,01/11/2010,,
32605,FL,102.24,439989.4718,06/29/2012,,
32712,FL,5.28,43325.29629,08/31/2009,,
34242,FL,4.928,43873.71776,08/06/2009,,
32312,FL,27.6,432986.279,05/27/2010,,
34212,FL,5.06,38346.03793,12/15/2009,,
32312,FL,26.32,378773.2555,06/30/2010,,
34293,FL,4,40413.35972,02/26/2010,,
32607,FL,1.92,7737.212282,06/26/2012,,
32825,FL,5.28,35834.70407,04/12/2010,,
32607,FL,102.6,444929.4698,12/24/2013,,
32566,FL,5.25,32173.24643,11/23/2009,,
32303,FL,2.16,24092.25773,10/01/2009,,
32117,FL,7,65810.57665,08/02/2009,,
32653,FL,5.9,18868.76479,01/29/2014,,
32312,FL,49.68,735813.222,05/27/2010,,
34787,FL,5.148,40561.57704,12/31/2009,,
32164,FL,4.576,43298.2141,09/02/2009,,
33455,FL,4.92,39239.13376,01/07/2010,,
32174,FL,4.9,46919.31771,11/04/2009,,
33487,FL,5.74,55902.23909,05/18/2010,,
34232,FL,5,43444.77324,06/04/2010,,
33433,FL,5.2,41613.98552,12/11/2009,,
32459,FL,5.04,41297.40561,06/26/2009,,
32607,FL,4.6,28439.08535,07/28/2011,,
32819,FL,1016.4,8845158.613,05/20/2009,,
33036,FL,6.9,61392.63757,05/18/2010,,
34242,FL,5,43850.35356,12/09/2009,,
32605,FL,7.2,34032.66583,05/06/2014,,
33569,FL,4.1,30452.01268,02/23/2010,,
34787,FL,5.148,42182.39654,01/08/2010,,
34224,FL,6.48,46591.00065,12/12/2009,,
32312,FL,5.25,52551.17078,06/05/2009,,
33767,FL,4.3,31260.79951,10/29/2009,,
33852,FL,5.04,45385.11593,12/15/2009,,
32303,FL,4.86,43850.35356,12/30/2009,,
34607,FL,5.06,34500.36192,12/31/2009,,
32653,FL,4.9,17630.80771,01/09/2013,,
34484,FL,4.715,30494.54711,11/02/2009,,
33330,FL,5.04,53246.24555,12/30/2009,,
32607,FL,5.76,19301.73614,12/14/2012,,
34285,FL,5.25,50125.72255,08/10/2009,,
34209,FL,5,43850.35356,12/15/2009,,
34223,FL,4.92,44367.86901,07/30/2009,,
32606,FL,9.99,63662.37904,12/28/2010,,
33950,FL,5,43850.35356,12/30/2009,,
32092,FL,2.8,21283.64242,04/14/2010,,
34987,FL,8.16,44181.63246,02/24/2010,,
32653,FL,6.72,20624.25838,09/20/2012,,
32601,FL,6.885,22629.56343,01/14/2014,,
32724,FL,3.15,24684.58408,11/11/2009,,
34251,FL,5,44516.27492,07/22/2009,,
32605,FL,4.992,36067.87408,12/23/2007,,
32605,FL,4.464,37004.70996,04/21/2009,,
34221,FL,5.2,38301.48384,11/06/2009,,
33441,FL,5.3,45446.75891,10/30/2009,,
34434,FL,4.928,41323.38652,05/04/2010,,
34604,FL,5.06,32577.0037,04/22/2010,,
34481,FL,5.52,47779.60543,04/20/2010,,
32606,FL,27.73,84326.2905,10/02/2013,,
32830,FL,21.6,202807.8852,12/17/2009,,
34236,FL,5,43690.11862,02/23/2010,,
33037,FL,4.15,35826.06989,11/20/2009,,
32608,FL,51.66,211378.9216,12/28/2011,,
34772,FL,5.1,,11/19/2014,,
32736,FL,9.6,75851.90689,07/07/2009,,
33563,FL,4.5,33018.43922,10/23/2009,,
32117,FL,4.928,32905.28832,08/20/2009,,
34432,FL,4.95,48098.35656,12/29/2009,,
32746,FL,5.52,43077.49107,12/29/2009,,
32608,FL,19.065,81773.26456,01/04/2011,,
33446,FL,5.04,50989.9585,12/31/2009,,
32301,FL,4.86,36176.54168,12/31/2009,,
34453,FL,5.06,48967.78389,03/30/2010,,
32608,FL,17.64,77962.19936,04/02/2010,,
32606,FL,4.725,33078.26201,06/05/2009,,
33957,FL,2.87,21948.83053,01/14/2010,,
32174,FL,2,21278.75312,08/06/2009,,
33914,FL,5,49279.61809,10/15/2009,,
33626,FL,5.2,38631.68976,01/12/2010,,
32102,FL,6.16,56479.25538,12/23/2009,,
32606,FL,7.2,25164.28427,04/17/2014,,
32086,FL,5.46,43972.11993,07/14/2009,,
32779,FL,5.06,31497.4606,06/29/2010,,
34481,FL,5.04,38301.86915,04/30/2010,,
33525,FL,4.32,29835.68771,10/14/2009,,
32605,FL,4.8,32110.07719,08/26/2009,,
32615,FL,285.6,1039870.679,01/06/2012,,
32904,FL,8,46115.00701,05/21/2010,,
32608,FL,23.985,103366.0648,12/10/2010,,
32784,FL,5.04,42645.25367,08/15/2009,,
32301,FL,25.2,164438.8258,12/30/2009,,
32608,FL,6.105,38530.34604,02/08/2011,,
32311,FL,5.184,40413.35972,02/06/2010,,
32608,FL,8.28,51330.83764,12/16/2010,,
32607,FL,9.99,61816.99868,06/20/2011,,
32958,FL,4.14,31524.04428,03/29/2010,,
33921,FL,3.42,25563.48483,09/29/2009,,
32609,FL,254.27,988763.6333,06/02/2011,,
34739,FL,4.928,32359.82368,04/28/2010,,
32608,FL,6.9,40634.36063,01/18/2011,,
33956,FL,5.377,34034.76996,01/20/2010,,
32608,FL,52.2,220628.1229,01/24/2014,,
33157,FL,4.928,42662.76733,06/18/2010,,
32137,FL,21.504,164438.8258,12/16/2009,,
34481,FL,4.14,41936.955,10/07/2009,,
32303,FL,4.86,43850.35356,12/24/2009,,
33990,FL,5.2,38414.59853,06/25/2009,,
33880,FL,4.95,37918.46901,11/11/2009,,
32607,FL,4,14435.05908,12/27/2012,,
34994,FL,6.9,64971.15927,06/02/2009,,
32669,FL,4.2,30692.40493,09/18/2009,,
34711,FL,5.04,41657.83588,12/15/2009,,
32909,FL,4.92,39238.09553,02/25/2010,,
32724,FL,5.4,33339.52248,05/07/2010,,
32317,FL,22.616,173214.9365,02/12/2010,,
32789,FL,52.92,345799.5031,12/30/2009,,
32765,FL,5.06,35679.38759,03/19/2010,,
32937,FL,6.22,46350.80331,11/23/2009,,
32608,FL,532.84,3411038.067,12/03/2010,,
32608,FL,5.6,26751.57442,04/19/2012,,
34219,FL,5,43278.38284,11/24/2010,,
32073,FL,5.2,50352.89076,05/30/2007,,
32607,FL,6.24,30960.45198,03/15/2012,,
32609,FL,74.8,640349.4112,06/17/2011,,
33435,FL,8.4,84633.14736,11/18/2009,,
32608,FL,11.76,51974.43761,04/30/2010,,
32779,FL,5.06,40509.5041,04/20/2010,,
34731,FL,5.125,32023.9132,12/29/2009,,
32605,FL,9.9,34735.83597,11/20/2014,,
32608,FL,17.64,77962.19936,04/02/2010,,
34951,FL,5.04,49151.38345,02/24/2010,,
32233,FL,4.9,38917.18878,12/30/2009,,
32601,FL,157.5,339182.5341,12/30/2013,,
32608,FL,34.02,150354.817,04/02/2010,,
32211,FL,5.46,45994.31022,10/08/2009,,
32514,FL,5.04,30971.67416,11/10/2009,,
32068,FL,4.32,32887.76517,12/17/2009,,
32608,FL,6.9,32162.71288,03/15/2011,,
32606,FL,23.01,69792.67936,09/20/2013,,
32129,FL,4.48,42678.79628,11/28/2009,,
32060,FL,3.51,22980.89031,11/18/2009,,
34237,FL,5,43436.00494,04/01/2010,,
33990,FL,5.04,42872.81694,07/17/2009,,
32607,FL,3.6,24666.65719,01/13/2009,,
32608,FL,5.04,31644.3294,11/15/2011,,
32953,FL,5.28,38301.48384,11/09/2009,,
33477,FL,3.69,29422.01813,02/23/2010,,
33317,FL,5.2,39925.08317,08/24/2009,,
32608,FL,21.84,96524.57607,04/02/2010,,
34110,FL,5.04,40262.51982,11/20/2009,,
34481,FL,4.95,47685.34739,11/19/2009,,
32619,FL,4.32,30945.18977,09/18/2009,,
34685,FL,5.6,34668.31452,11/06/2009,,
32301,FL,24.75,239312.9655,03/02/2010,,
32608,FL,20.295,87463.59327,12/10/2010,,
34953,FL,5.06,45959.59196,11/18/2009,,
33914,FL,5.04,35018.49951,11/03/2009,,
32309,FL,5.25,29965.4139,04/06/2010,,
33498,FL,2.34,30995.09321,06/29/2009,,
34205,FL,5,47056.10872,11/10/2009,,
34232,FL,5,43064.63148,06/01/2010,,
32308,FL,4.86,41657.83588,12/14/2009,,
32828,FL,5,43850.35356,12/16/2009,,
32605,FL,6.08,23476.50173,09/12/2011,,
32801,FL,7.128,56614.10442,07/27/2009,,
32608,FL,25.2,148705.579,08/25/2009,,
33993,FL,5.33,40762.11383,01/27/2010,,
32608,FL,258.72,1656226.351,12/03/2010,,
32609,FL,96.35,374669.262,06/08/2011,,
32608,FL,13.65,97759.66545,06/29/2009,,
34224,FL,25,175562.5443,05/19/2010,,
32308,FL,5.184,33493.56375,07/02/2009,,
33980,FL,4.14,30612.80882,12/31/2009,,
33596,FL,2.986,32734.28893,12/30/2009,,
32608,FL,3.92,16884.88821,06/03/2013,,
32789,FL,74.1,559384.4173,08/19/2009,,
34428,FL,5.04,35574.08804,04/06/2010,,
33146,FL,4,43972.11993,07/14/2009,,
32605,FL,10.2,29389.81832,07/03/2013,,
33322,FL,5.16,54863.8662,11/10/2009,,
32164,FL,3.15,27577.06837,11/19/2009,,
33912,FL,5.2,39861.73552,10/26/2009,,
32605,FL,4.992,34917.31255,11/30/2007,,
32608,FL,20.91,90114.00518,12/21/2010,,
33486,FL,5.25,51469.82334,10/05/2009,,
34491,FL,5.04,41317.99564,12/24/2009,,
32608,FL,25.83,114158.5082,04/02/2010,,
33706,FL,5.06,32571.5742,04/30/2010,,
33583,FL,4.2,33453.43473,12/07/2009,,
32920,FL,5.17,37315.19694,01/27/2010,,
34470,FL,4.95,50644.69177,12/16/2009,,
33912,FL,5.3,36891.28489,04/09/2010,,
34104,FL,25.2,184133.2522,07/07/2009,,
32606,FL,6.12,19060.23984,11/08/2013,,
32607,FL,26.04,136928.8666,09/21/2011,,
32312,FL,5.184,34331.18415,08/05/2009,,
32505,FL,5.06,42898.23522,02/18/2010,,
34614,FL,3.04,29888.67275,05/08/2009,,
32653,FL,5.25,40609.71844,06/03/2009,,
32608,FL,25.2,148705.579,08/07/2009,,
32063,FL,5.16,48995.25813,11/19/2009,,
32608,FL,29.6,130891.4989,06/08/2010,,
33701,FL,6.3,64808.1733,10/22/2009,,
32409,FL,8,60173.64752,07/01/2009,,
32601,FL,84,180897.3515,12/30/2013,,
32097,FL,5,38369.05936,12/01/2009,,
34145,FL,6.72,52471.33306,12/22/2009,,
32608,FL,9.84,44277.4783,01/26/2011,,
33912,FL,4.92,32813.46934,09/03/2009,,
32608,FL,15.99,68584.02834,01/06/2011,,
32606,FL,2.8,28115.34142,06/23/2008,,
33967,FL,4.8,38372.39595,10/05/2009,,
