Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=IN
47401,IN,23.32,,06/21/2013,,
47401,IN,27.56,,06/21/2013,,
47401,IN,28.0,,06/21/2013,,
47404,IN,3.0,,06/21/2013,,
47401,IN,4.41,,06/21/2013,,
47433,IN,6.0,,06/21/2013,,
47408,IN,4.0,,06/21/2012,,
47401,IN,2.0,,06/21/2012,,
47401,IN,5.0,,06/21/2012,,
47421,IN,6.0,,06/21/2012,,
47401,IN,6.0,,06/21/2012,,
47408,IN,5.4,,06/21/2011,,
47433,IN,4.32,,06/21/2012,,
47401,IN,5.0,,06/21/2012,,
47401,IN,5.635,,06/21/2011,,
47401,IN,3.0,,06/21/2012,,
47408,IN,3.84,,06/21/2011,,
47403,IN,5.5,,06/21/2012,,
47401,IN,5.5,,06/21/2012,,
47401,IN,5.49,,06/21/2012,,
47401,IN,1.0,,06/21/2012,,
47403,IN,2.5,,06/21/2012,,
47401,IN,7.0,,06/21/2012,,
47408,IN,4.0,,06/21/2012,,
47408,IN,10.34,,06/21/2012,,
47406,IN,10.34,,06/21/2011,,
47408,IN,4.0,,06/21/2011,,
47404,IN,2.35,,06/21/2012,,
47408,IN,2.07,,06/21/2012,,
47401,IN,7.82,,06/21/2012,,
47401,IN,4.6,,06/21/2012,,
47401,IN,3.91,,06/21/2012,,
47403,IN,6.72,,06/21/2012,,
47401,IN,2.2,,06/21/2011,,
47468,IN,5.5,,06/21/2012,,
47401,IN,3.68,,06/21/2012,,
47404,IN,63.5,,06/21/2012,,
47408,IN,5.5,,06/21/2012,,
47403,IN,2.8,,12/31/2008,,
47403,IN,2.8,,12/31/2008,,
47403,IN,2.8,,12/31/2008,,
47403,IN,2.8,,12/31/2008,,
47403,IN,2.8,,12/31/2008,,
47403,IN,2.8,,12/31/2008,,
47403,IN,2.8,,12/31/2008,,
47403,IN,2.8,,12/31/2008,,
47403,IN,2.8,,12/31/2008,,
47403,IN,2.8,,12/31/2008,,
47403,IN,2.8,,12/31/2008,,
47401,IN,2.8,,06/21/2011,,
47401,IN,3.6,,06/21/2011,,
47401,IN,3.08,,06/21/2011,,
47401,IN,3.525,,06/21/2011,,
47401,IN,3.525,,06/21/2011,,
47401,IN,0.02,,06/21/2011,,
47404,IN,2.94,,06/21/2011,,
47403,IN,5.635,,06/21/2011,,
47401,IN,7.35,,06/21/2011,,
47408,IN,0.12,,06/21/2011,,
47408,IN,3.525,,06/21/2011,,
47405,IN,1.88,,06/21/2011,,
47403,IN,0.04,,06/21/2010,,
47401,IN,0.02,,06/21/2011,,
47408,IN,3.4,,06/21/2011,,
47401,IN,3.4,,06/21/2011,,
47403,IN,4.0,,06/21/2009,,
47401,IN,1.5,,12/31/2009,,
47401,IN,2.82,,06/21/2010,,
47408,IN,0.13,,12/31/2009,,
47401,IN,1.88,,06/21/2010,,
47403,IN,2.8,,12/31/2008,,
47401,IN,4.4,,12/31/2009,,
47403,IN,4.42,,06/21/2010,,
47408,IN,0.06,,06/21/2010,,
47408,IN,0.02,,12/31/2009,,
47401,IN,0.06,,06/21/2011,,
47403,IN,4.6,,06/21/2010,,
47401,IN,1.68,,06/21/2010,,
47408,IN,2.4,,06/21/2010,,
47401,IN,3.25,,12/31/2009,,
47401,IN,0.66,,12/31/2009,,
47404,IN,5.0,,12/31/2008,,
47401,IN,1.5,,12/31/2008,,
47404,IN,4.5,,06/21/2010,,
47408,IN,1.2,,06/21/2010,,
47408,IN,1.2,,12/31/2009,,
47401,IN,3.69,,06/21/2010,,
47403,IN,2.675,,12/31/2009,,
47403,IN,1.75,,12/31/2009,,
47408,IN,1.2,,06/21/2010,,
47408,IN,1.2,,12/31/2009,,
47408,IN,0.02,,12/31/2005,,
47401,IN,1.89,,12/31/2007,,
46214,IN,3189.0,,08/19/2014,,
46241,IN,9375.0,,12/22/2014,,
47660,IN,56.5,,06/26/2014,,
46237,IN,200.0,,02/26/2014,,
46383,IN,26.77,,02/13/2012,,
46601,IN,93.0,,08/02/2010,,
47401,IN,5.49,,11/30/2012,,
47408,IN,7.5,,11/25/2013,,
46041,IN,144.0,,12/01/2013,,
46901,IN,12.0,,02/28/2014,,
47630,IN,3.6,,10/01/2013,,
46975,IN,15.68,,01/01/2013,,
46996,IN,8.0,,08/21/2012,,
46975,IN,17.64,,04/09/2013,,
47408,IN,4.5,,11/01/2013,,
47006,IN,7.02,,06/06/2014,,
46962,IN,16.0,,05/01/2014,,
46947,IN,16.0,,05/05/2014,,
46563,IN,6.0,,04/23/2014,,
46236,IN,3.12,,04/24/2014,,
47240,IN,5.2,,07/02/2014,,
47401,IN,5.775,,07/23/2014,,
46226,IN,57.0,,06/12/2012,,
46218,IN,109.2,,10/21/2013,,
46221,IN,108.0,,05/15/2013,,
46205,IN,109.98,,09/07/2012,,
46217,IN,4.16,,04/29/2014,,
47408,IN,0.02,,01/01/2005,,
47401,IN,1.89,,01/01/2007,,
46256,IN,7.28,,05/13/2014,,
46107,IN,3.12,,05/09/2014,,
46214,IN,7.54,,04/25/2013,,
46214,IN,3102.0,,04/09/2014,,
46229,IN,9.0,,09/15/2014,,
47955,IN,98.4,,10/10/2014,,
46225,IN,109.2,,10/15/2013,,
46222,IN,750.0,,10/28/2013,,
47374,IN,1000.0,2600000.0,08/22/2014,,
46526,IN,627.44,,06/12/2013,,
47374,IN,5.17,,05/14/2012,,
47715,IN,20.2,,03/30/2011,,
47715,IN,20.2,,03/30/2011,,
46311,IN,4.25,,12/30/2011,,
46975,IN,15.68,,11/01/2013,,
46160,IN,6.24,,03/25/2014,,
47468,IN,10.0,,12/27/2013,,
46356,IN,15.68,,09/17/2013,,
46219,IN,3.42,,07/03/2014,,
47601,IN,6.02,,09/14/2013,,
47433,IN,3.02,11500.0,03/09/2013,,
46975,IN,15.68,,02/01/2013,,
46368,IN,61.0,,11/15/2013,,
46222,IN,11204.49,,06/30/2014,,
47950,IN,15.68,,08/29/2013,,
46975,IN,11.76,,04/02/2013,,
46975,IN,7.84,,06/02/2013,,
46733,IN,20.928,,11/20/2013,,
46970,IN,10.5,,11/06/2013,,
47408,IN,4.32,,12/06/2013,,
47401,IN,4.5,,12/26/2013,,
47356,IN,9.36,,12/18/2013,,
46526,IN,9.03,,12/04/2012,,
46241,IN,10860.0,,03/05/2014,,
47401,IN,6.0,,07/26/2013,,
47401,IN,9.8,,11/17/2013,,
46975,IN,15.68,,06/01/2013,,
46349,IN,650.0,,11/18/2013,,
46259,IN,26208.8,,12/16/2013,,
46221,IN,11275.2,,12/16/2013,,
46975,IN,29.4,,04/02/2013,,
47460,IN,8.5,,10/05/2013,,
46041,IN,15.04,,04/06/2013,,
47401,IN,4.41,,05/24/2013,,
47638,IN,8.58,36650.0,11/12/2012,,
47601,IN,8.925,34800.0,11/26/2012,,
47725,IN,9.18,36800.0,01/25/2013,,
47638,IN,5.2,29995.0,01/29/2013,,
47630,IN,6.12,24900.0,03/15/2013,,
47714,IN,3.825,16000.0,07/05/2013,,
47711,IN,8.16,32640.0,08/02/2013,,
46553,IN,375.0,,01/14/2013,,
46975,IN,22.56,,08/15/2012,,
46975,IN,15.04,,08/28/2012,,
47119,IN,6.76,,06/17/2013,,
47537,IN,9.75,,05/30/2013,,
46563,IN,5.0,,04/23/2013,,
47630,IN,3.0,,02/20/2013,,
46383,IN,5.0,13000.0,01/15/2013,,
47201,IN,5.0,5000.0,10/15/2012,,
47201,IN,8.0,10500.0,12/15/2013,,
47408,IN,5.2,,08/31/2012,,
47638,IN,5.46,,12/14/2012,,
47620,IN,6.0,,12/28/2012,,
47403,IN,5.2,,01/22/2013,,
47408,IN,5.58,,08/03/2012,,
47401,IN,7.8,,08/02/2012,,
47401,IN,5.52,,11/03/2012,,
47404,IN,63.75,,03/31/2012,,
46202,IN,48.0,,01/30/2013,,
46001,IN,3.9,14000.0,02/03/2013,,
47348,IN,7.8,38000.0,12/12/2012,,
46383,IN,7.7,35000.0,01/07/2013,,
47630,IN,19.285,69190.0,10/25/2012,,
47601,IN,8.0,,11/26/2012,,
46939,IN,10.34,60000.0,01/01/2012,,
46526,IN,5.64,29500.0,08/27/2012,,
46507,IN,5.0,30000.0,01/01/2012,,
46526,IN,11.52,57000.0,01/01/2012,,
46526,IN,5.64,34437.18,08/01/2012,,
46970,IN,1.88,9400.0,07/01/2011,,
46911,IN,1.88,9400.0,07/01/2011,,
46970,IN,1.88,9400.0,07/01/2011,,
46970,IN,1.88,9400.0,07/01/2011,,
46947,IN,1.88,9400.0,07/01/2011,,
46947,IN,1.88,9400.0,07/01/2011,,
