Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=NV
89149,NV,52.366,250510.0,06/08/2011,,
89130,NV,52.366,250510.0,06/08/2011,,
89107,NV,103.257,664975.0,06/08/2011,,
89406,NV,101.006,491800.0,06/15/2011,,
89106,NV,36.814,184067.0,06/15/2011,,
89410,NV,41.361,237000.0,06/15/2011,,
89131,NV,67.883,828804.0,06/16/2011,,
89106,NV,51.069,966560.0,06/16/2011,,
89103,NV,7.849,36585.0,06/16/2011,,
89124,NV,9.811,62000.0,06/16/2011,,
89030,NV,29.84,338100.0,06/16/2011,,
89106,NV,34.942,226114.0,06/20/2011,,
89128,NV,14.426,84961.0,06/20/2011,,
89429,NV,41.254,206469.0,06/20/2011,,
89119,NV,103.257,640000.0,06/20/2011,,
89104,NV,103.257,664975.0,06/20/2011,,
89128,NV,11.22,62758.0,06/20/2011,,
89031,NV,4.555,25740.0,06/21/2011,,
89015,NV,51.218,258587.0,06/23/2011,,
89141,NV,51.218,258587.0,06/23/2011,,
89178,NV,51.218,258587.0,06/23/2011,,
89120,NV,31.013,221760.0,06/23/2011,,
89120,NV,31.013,221760.0,06/23/2011,,
89410,NV,4.654,33951.0,06/23/2011,,
89120,NV,16.98,117759.0,06/23/2011,,
89120,NV,19.406,134400.0,06/23/2011,,
89178,NV,51.218,258587.0,06/24/2011,,
89113,NV,51.218,258587.0,06/24/2011,,
89149,NV,51.218,257903.0,06/24/2011,,
89183,NV,51.218,258587.0,06/24/2011,,
89447,NV,14.969,81596.0,06/24/2011,,
89108,NV,128.491,589517.0,06/24/2011,,
89117,NV,4.937,30835.0,06/24/2011,,
89183,NV,48.086,244038.0,06/27/2011,,
89503,NV,98.25,502237.0,06/28/2011,,
89705,NV,5.845,21179.0,06/28/2011,,
89183,NV,6.713,38888.0,06/30/2011,,
89146,NV,50.963,357304.0,06/30/2011,,
89408,NV,4.332,17078.0,07/05/2011,,
89131,NV,52.783,261713.0,07/05/2011,,
89447,NV,30.438,158429.0,07/05/2011,,
89166,NV,52.783,259530.0,07/05/2011,,
89144,NV,49.383,244335.0,07/05/2011,,
89031,NV,65.432,394950.0,07/05/2011,,
89146,NV,30.288,207789.0,07/05/2011,,
