Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=WI
53507,WI,2.88,33100.0,03/26/2010,,
54428,WI,2.4,23156.65,04/07/2010,,
53014,WI,2.4,22719.98,04/07/2010,,
54212,WI,2.4,22381.91,04/07/2010,,
53546,WI,6.21,74811.0,04/07/2010,,
53403,WI,5.64,52100.0,04/07/2010,,
54022,WI,3.87,38942.0,04/07/2010,,
53223,WI,7.2,71295.94,04/07/2010,,
53590,WI,5.776,39290.0,04/07/2010,,
54767,WI,12.04,84529.84,04/07/2010,,
54914,WI,19.78,140000.0,04/07/2010,,
54981,WI,6.4,73000.0,04/12/2010,,
54984,WI,2.96,25600.15,04/13/2010,,
53901,WI,8.88,83500.0,04/14/2010,,
54981,WI,7.68,78607.0,04/14/2010,,
53219,WI,10.08,83030.0,05/10/2010,,
53705,WI,10.56,65512.0,05/10/2010,,
54403,WI,1.95,28063.18,05/12/2010,,
54981,WI,19.8,137900.0,05/12/2010,,
53713,WI,9.936,70482.0,05/12/2010,,
54423,WI,6.4,70000.0,05/13/2010,,
54722,WI,8.96,68968.02,05/21/2010,,
53588,WI,2.88,32750.0,05/27/2010,,
53589,WI,1.575,15116.11,06/09/2010,,
54484,WI,1.632,9083.0,06/11/2010,,
54452,WI,19.74,124542.0,06/11/2010,,
54742,WI,2.82,33897.0,06/11/2010,,
53548,WI,18.9,130410.0,06/11/2010,,
53574,WI,8.28,58010.0,06/25/2010,,
54901,WI,6.11,42700.0,06/25/2010,,
53094,WI,19.8,155000.0,06/25/2010,,
53226,WI,14.1,141000.0,06/28/2010,,
53115,WI,19.74,192920.0,06/28/2010,,
53115,WI,19.74,160000.0,06/28/2010,,
53037,WI,20.72,253000.0,06/28/2010,,
53218,WI,11.04,79900.0,06/28/2010,,
53562,WI,9.856,94073.0,07/12/2010,,
53214,WI,5.25,60470.0,07/12/2010,,
53590,WI,10.34,70780.0,07/12/2010,,
53705,WI,6.3,53220.0,07/12/2010,,
53186,WI,14.336,101213.0,07/13/2010,,
53233,WI,31.5,270000.0,07/13/2010,,
53202,WI,10.35,93387.0,07/13/2010,,
53951,WI,10.08,96350.0,07/14/2010,,
53543,WI,5.92,62550.0,07/14/2010,,
54981,WI,2.96,27465.17,07/14/2010,,
54981,WI,19.8,144000.0,07/27/2010,,
54452,WI,13.33,79000.0,07/27/2010,,
53403,WI,18.84,45000.0,07/28/2010,,
53704,WI,3.456,10461.0,07/28/2010,,
54983,WI,3.29,35000.0,08/12/2010,,
54911,WI,2.8,28000.0,08/13/2010,,
54637,WI,2.94,26710.0,08/25/2010,,
54942,WI,12.8,71000.0,08/27/2010,,
53718,WI,2.1,17556.57,09/07/2010,,
53066,WI,49.504,394052.0,09/10/2010,,
53115,WI,19.74,160000.0,09/10/2010,,
53548,WI,10.368,66615.0,09/10/2010,,
53147,WI,19.712,124145.0,09/10/2010,,
53045,WI,17.94,131600.0,09/10/2010,,
53014,WI,3.36,37000.0,09/10/2010,,
53538,WI,19.74,164239.0,09/10/2010,,
54981,WI,7.4,35090.0,09/10/2010,,
53821,WI,1.68,11412.98,09/13/2010,,
54110,WI,9.2,61870.0,09/15/2010,,
54981,WI,10.12,75000.0,09/27/2010,,
53115,WI,19.74,160000.0,09/27/2010,,
53074,WI,19.32,163254.0,09/27/2010,,
53965,WI,5.376,39162.65,09/27/2010,,
53820,WI,19.74,120077.0,09/29/2010,,
53213,WI,11.61,27411.0,10/13/2010,,
53115,WI,19.32,160000.0,10/13/2010,,
54313,WI,15.41,76492.61,10/13/2010,,
53115,WI,19.74,160000.0,10/13/2010,,
54220,WI,37.95,204930.0,10/13/2010,,
53014,WI,12.96,87875.0,10/13/2010,,
53074,WI,10.12,18273.0,10/13/2010,,
53205,WI,14.84,101367.0,10/27/2010,,
54981,WI,7.42,45000.0,10/27/2010,,
53036,WI,19.32,115920.0,10/27/2010,,
53704,WI,18.8,102000.0,10/27/2010,,
53704,WI,39.95,265000.0,10/27/2010,,
53115,WI,20.16,160000.0,10/27/2010,,
53114,WI,7.168,58088.0,10/27/2010,,
53057,WI,20.68,101742.1,10/27/2010,,
54631,WI,3.584,28526.63,10/27/2010,,
53913,WI,8.88,82080.0,11/10/2010,,
53594,WI,3.76,29137.0,11/10/2010,,
53713,WI,9.504,69000.0,11/10/2010,,
53534,WI,12.88,91797.0,11/10/2010,,
54235,WI,3.28,25983.0,11/10/2010,,
53556,WI,19.27,106025.39,11/10/2010,,
53705,WI,3.96,29068.86,11/10/2010,,
54482,WI,5.06,31000.0,11/10/2010,,
53913,WI,3.15,15579.64,11/10/2010,,
54961,WI,7.56,54500.0,11/10/2010,,
54901,WI,2.116,22866.0,11/22/2010,,
53821,WI,13.88,112000.0,11/22/2010,,
54406,WI,3.24,22713.0,11/22/2010,,
53574,WI,5.04,28825.0,11/22/2010,,
53005,WI,11.04,66708.0,11/22/2010,,
54909,WI,11.9,101511.95,11/24/2010,,
54003,WI,4.05,34373.0,12/01/2010,,
54481,WI,3.9,24910.0,12/10/2010,,
53716,WI,8.06,74977.0,12/10/2010,,
54149,WI,16.2,119374.0,12/10/2010,,
53812,WI,20.64,155000.0,12/10/2010,,
53563,WI,13.2,79350.0,12/10/2010,,
54130,WI,5.72,34700.0,12/10/2010,,
53154,WI,21.56,99484.0,12/10/2010,,
53083,WI,8.6,66237.0,12/10/2010,,
53821,WI,3.36,30010.78,12/10/2010,,
53548,WI,1.1,9000.0,12/10/2010,,
54914,WI,5.16,38788.0,12/10/2010,,
53010,WI,11.84,118396.0,12/14/2010,,
53711,WI,4.82,29699.0,12/14/2010,,
53142,WI,5.92,66462.0,12/14/2010,,
53963,WI,20.68,122600.0,12/16/2010,,
54751,WI,11.04,79987.0,12/21/2010,,
53956,WI,20.16,119449.54,12/21/2010,,
54952,WI,5.06,24200.0,12/27/2010,,
54220,WI,273.0,1396405.0,12/28/2010,,
54471,WI,1.8,13000.0,06/21/2004,,
53572,WI,9.02,,10/01/2010,,
53574,WI,5.04,28825.0,10/07/2010,,
54024,WI,1.6,5400.0,05/10/2010,,
54661,WI,8.46,54329.0,12/22/2010,,
54228,WI,2.276,19293.01,11/27/2007,,
54481,WI,6.4,57200,03/26/2009,,
53212,WI,2.1,17900,08/31/2009,,
53227,WI,2.2,29800,09/27/2006,,
54466,WI,3.24,26649.05,12/27/2007,,
54540,WI,4.488,37216,12/27/2007,,
54940,WI,2.8,31029.91,10/28/2008,,
54401,WI,0.22,2293.4,06/28/2005,,
54909,WI,0.6,0.0,09/29/2003,,
53403,WI,36.9,341934,12/31/2008,,
53704,WI,3.328,29392.3,05/23/2007,,
53575,WI,2.05,20692,02/26/2009,,
54913,WI,6.272,58536.68,09/24/2008,,
54154,WI,0.52,2348.82,12/27/2006,,
53704,WI,1.278,9695,03/26/2008,,
54751,WI,1.5,7951.74,12/20/2004,,
54814,WI,0.6,5370.21,07/15/2004,,
