Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=DE
19709,DE,10.0,,06/25/2014,,
19709,DE,7.95,,09/08/2014,,
19701,DE,5.3,,06/25/2014,,
19810,DE,5.5,,11/18/2014,,
19930,DE,31.5,,10/08/2014,,
19971,DE,10.14,,10/14/2014,,
19968,DE,5.5,,08/20/2014,,
19971,DE,12.0,,10/21/2014,,
19943,DE,4.2,,10/07/2014,,
19952,DE,9.72,,08/07/2014,,
19711,DE,6.48,,09/10/2014,,
19943,DE,5.5,,08/11/2014,,
19966,DE,5.61,,09/19/2014,,
19968,DE,1.65,,08/03/2014,,
19966,DE,5.25,,09/10/2014,,
19958,DE,10.4,,03/07/2014,,
19951,DE,8.12,,08/14/2014,,
19945,DE,13.0,,07/25/2014,,
19962,DE,9.18,,07/09/2014,,
19707,DE,13.5,,09/09/2014,,
19901,DE,10.8,,09/24/2014,,
19803,DE,8.1,,09/10/2014,,
19711,DE,10.14,,06/26/2014,,
19966,DE,5.5,,10/02/2014,,
19958,DE,7.0,,08/20/2014,,
19958,DE,5.5,,10/10/2014,,
19966,DE,5.61,,10/07/2014,,
19939,DE,12.5,,08/27/2014,,
19734,DE,10.78,,06/20/2014,,
19806,DE,10.4,,07/06/2014,,
19808,DE,7.02,,08/21/2014,,
19966,DE,5.72,,10/07/2014,,
19958,DE,11.63,,10/16/2014,,
19958,DE,5.61,,09/29/2014,,
19975,DE,6.85,,10/02/2014,,
19958,DE,8.25,,10/29/2014,,
19808,DE,4.32,,10/01/2014,,
19904,DE,11.0,,10/02/2014,,
19966,DE,5.36,,10/21/2014,,
19966,DE,5.61,,10/21/2014,,
19958,DE,5.0,,10/21/2014,,
19707,DE,4.2,,09/25/2014,,
19971,DE,5.94,,08/28/2014,,
19951,DE,10.0,,04/23/2014,,
19943,DE,5.76,,01/18/2013,,
19701,DE,9.72,,07/24/2014,,
19958,DE,5.72,,09/10/2014,,
19966,DE,5.5,,09/10/2014,,
19971,DE,16.2,,07/11/2014,,
19938,DE,7.56,,05/29/2014,,
19971,DE,5.0,,08/26/2014,,
19958,DE,9.9,,08/04/2014,,
19707,DE,7.56,,07/02/2014,,
19958,DE,9.9,,09/10/2014,,
19808,DE,2.6,,08/27/2014,,
19958,DE,4.5,,08/27/2014,,
19966,DE,8.25,,08/21/2014,,
19958,DE,7.56,,08/20/2014,,
19958,DE,12.0,,01/24/2014,,
19968,DE,4.48,,08/27/2014,,
19707,DE,5.5,,08/28/2014,,
19968,DE,7.5,,08/28/2014,,
19810,DE,10.18,,07/25/2014,,
19968,DE,3.8,,09/24/2014,,
19734,DE,8.25,,08/08/2014,,
19971,DE,7.75,,08/13/2014,,
19901,DE,5.0,,07/07/2014,,
