Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=UT
84003,UT,3.24,27899.0,11/19/2008,,
84741,UT,6.12,63076.4,12/12/2008,,
84401,UT,41.8,420412.0,12/18/2008,,
84111,UT,24.32,263133.55,01/15/2009,,
84111,UT,30.4,299258.98,01/15/2009,,
84103,UT,7.77,65966.0,01/15/2009,,
84074,UT,50.0,250000.0,01/15/2009,,
84738,UT,3.82,26240.0,03/18/2009,,
84738,UT,3.88,26240.0,03/18/2009,,
84050,UT,2.0,20882.11,03/22/2009,,
84745,UT,4.95,47691.89,04/01/2009,,
84105,UT,3.15,22050.0,04/20/2009,,
84106,UT,2.8,15001.0,04/28/2009,,
84604,UT,3.36,30512.0,05/01/2009,,
84124,UT,4.085,39670.0,06/02/2009,,
84025,UT,4.2,22432.59,06/10/2009,,
84525,UT,4.0,26774.79,07/01/2009,,
84741,UT,2.16,17556.36,07/10/2009,,
84103,UT,3.57,37352.0,07/14/2009,,
84121,UT,3.68,29205.0,07/25/2009,,
84032,UT,3.3,32718.83,08/02/2009,,
84003,UT,1.0,9584.81,08/03/2009,,
84121,UT,3.0,13825.39,08/05/2009,,
84105,UT,3.15,24831.0,08/25/2009,,
84106,UT,4.05,32059.0,08/27/2009,,
84095,UT,1.8,15250.0,09/01/2009,,
84105,UT,2.76,23690.0,09/09/2009,,
84341,UT,2.0,17261.52,09/17/2009,,
84121,UT,7.3,52300.0,09/18/2009,,
84092,UT,2.7,12722.74,10/09/2009,,
84105,UT,1.76,15661.37,11/01/2009,,
84102,UT,2.52,22259.01,11/06/2009,,
84716,UT,2.15,14940.0,11/10/2009,,
84095,UT,1.64,14500.0,11/15/2009,,
84095,UT,1.64,14500.0,11/15/2009,,
84017,UT,2.85,17000.0,11/18/2009,,
84532,UT,3.01,21249.0,11/21/2009,,
84040,UT,5.4,38200.29,11/23/2009,,
84332,UT,1.4,15005.81,12/01/2009,,
84738,UT,3.7,26470.0,12/04/2009,,
84108,UT,3.6,15508.78,12/13/2009,,
84124,UT,2.15,17328.09,12/20/2009,,
84106,UT,5.375,33559.0,12/21/2009,,
84105,UT,1.575,14046.56,12/28/2009,,
84106,UT,2.1,17975.0,12/29/2009,,
84341,UT,2.8,24901.0,12/31/2009,,
84335,UT,5.04,28320.45,12/31/2009,,
84601,UT,3.6,23373.0,01/01/2010,,
84761,UT,4.9,27133.45,01/01/2010,,
84095,UT,1.64,14500.0,03/01/2010,,
84062,UT,2.0,6385.45,03/04/2010,,
84095,UT,1.64,14500.0,03/18/2010,,
84738,UT,4.0,14358.83,04/08/2010,,
84790,UT,2.16,13001.14,04/28/2010,,
84095,UT,1.84,14500.0,05/19/2010,,
84075,UT,2.7,25542.77,06/01/2010,,
84701,UT,7.04,50000.0,06/01/2010,,
84341,UT,1.84,12709.0,06/01/2010,,
84095,UT,1.64,14500.0,06/21/2010,,
84123,UT,2.35,14240.0,06/29/2010,,
84341,UT,2.3,19966.57,07/01/2010,,
84095,UT,1.84,14500.0,07/01/2010,,
84095,UT,1.84,14500.0,07/01/2010,,
84321,UT,4.05,23768.45,07/01/2010,,
84335,UT,4.05,23276.59,07/01/2010,,
84095,UT,1.84,14500.0,07/02/2010,,
84095,UT,1.84,14500.0,07/07/2010,,
84095,UT,1.84,14500.0,07/07/2010,,
84103,UT,6.92,54800.0,07/10/2010,,
84003,UT,4.05,21890.0,07/12/2010,,
84779,UT,2.76,23980.0,07/13/2010,,
84095,UT,3.15,18685.0,07/13/2010,,
84105,UT,1.61,11125.0,07/15/2010,,
84092,UT,4.6,26857.57,07/17/2010,,
84757,UT,3.52,19930.73,07/22/2010,,
84003,UT,3.15,18731.9,07/23/2010,,
84095,UT,4.14,35782.0,07/26/2010,,
84321,UT,2.07,14507.0,07/27/2010,,
84737,UT,6.45,38310.0,07/28/2010,,
84643,UT,6.6,34443.54,07/28/2010,,
84747,UT,4.3,35475.0,08/01/2010,,
84025,UT,5.64,39093.18,08/01/2010,,
84108,UT,1.72,17108.0,08/02/2010,,
84124,UT,3.3,21265.69,08/10/2010,,
84341,UT,4.2,24840.0,08/12/2010,,
84003,UT,3.9,21265.0,08/15/2010,,
84315,UT,4.14,17053.78,08/20/2010,,
84111,UT,0.925,8809.21,08/30/2010,,
84105,UT,3.45,21225.0,08/30/2010,,
84092,UT,1.75,12331.0,08/31/2010,,
84017,UT,1.52,15600.0,09/01/2010,,
84741,UT,4.5,35851.93,09/01/2010,,
84321,UT,1.8,13166.6,09/01/2010,,
84123,UT,2.96,16968.0,09/01/2010,,
84108,UT,4.508,18262.01,09/01/2010,,
84741,UT,4.5,35850.93,09/09/2010,,
84105,UT,3.01,17450.0,09/10/2010,,
84532,UT,1.906,13827.5,09/13/2010,,
84096,UT,7.095,39022.0,09/16/2010,,
84047,UT,4.32,38307.0,09/24/2010,,
84017,UT,3.22,19995.0,09/27/2010,,
84108,UT,5.4,37010.0,09/28/2010,,
84317,UT,4.41,28991.05,10/01/2010,,
84321,UT,3.08,18480.0,10/04/2010,,
84114,UT,35.64,385600.0,10/06/2010,,
84720,UT,1.44,12158.82,10/08/2010,,
84109,UT,4.32,37400.0,10/13/2010,,
84109,UT,2.1,16575.6,10/15/2010,,
84095,UT,1.84,14500.0,10/15/2010,,
84098,UT,5.5,38044.0,10/17/2010,,
84088,UT,2.4,14782.79,10/18/2010,,
84124,UT,3.22,19600.55,10/25/2010,,
84093,UT,4.32,39000.0,10/26/2010,,
84060,UT,3.29,19736.0,10/28/2010,,
84124,UT,6.45,35475.0,11/01/2010,,
84123,UT,1.05,5602.79,11/03/2010,,
84775,UT,7.955,45685.0,11/05/2010,,
84337,UT,4.8,13873.64,11/05/2010,,
84062,UT,4.32,33253.0,11/07/2010,,
84128,UT,3.96,38500.0,11/08/2010,,
84058,UT,2.88,21671.87,11/15/2010,,
84105,UT,1.35,9965.0,11/15/2010,,
84103,UT,4.3,28680.0,11/15/2010,,
84115,UT,3.96,38500.0,11/16/2010,,
84060,UT,2.58,22839.0,11/19/2010,,
84097,UT,4.6,30086.24,11/22/2010,,
84525,UT,0.555,5342.21,12/01/2010,,
84103,UT,9.0,7579.92,12/01/2010,,
84095,UT,1.84,14500.0,12/01/2010,,
84606,UT,4.14,31001.67,12/01/2010,,
84738,UT,8.0,47482.16,12/01/2010,,
84093,UT,4.05,24022.9,12/01/2010,,
84060,UT,7.2,56773.95,12/11/2010,,
84067,UT,4.5,34252.0,12/14/2010,,
84010,UT,2.25,13983.15,12/15/2010,,
84341,UT,2.82,17105.0,12/15/2010,,
84103,UT,4.37,25900.0,12/15/2010,,
84738,UT,8.28,50160.33,12/16/2010,,
84062,UT,4.86,27695.0,12/18/2010,,
84341,UT,2.76,20925.0,12/20/2010,,
84067,UT,3.87,20736.0,12/20/2010,,
84070,UT,7.925,69000.0,12/21/2010,,
84109,UT,3.15,18018.8,12/21/2010,,
84761,UT,2.76,15207.58,12/21/2010,,
