Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=PA
19426,PA,8.28,46875.7,11/09/2010,,
17522,PA,20.16,,09/23/2011,,
17225,PA,10.08,,09/30/2011,,
17033,PA,5.04,,11/14/2011,,
17073,PA,3.28,,06/22/2011,,
17315,PA,7.35,,09/22/2011,,
19540,PA,13.505,,02/23/2012,,
17325,PA,13.86,,04/21/2011,,
17112,PA,11.2,,11/15/2011,,
17047,PA,8.46,,10/04/2011,,
17064,PA,199.65,,12/22/2011,,
19382,PA,2.43,,01/14/2012,,
18960,PA,5.76,,12/20/2011,,
19063,PA,6.65,,12/22/2011,,
17985,PA,6.0,,01/30/2012,,
19545,PA,127.41,,10/09/2009,,
17331,PA,3546.0,,05/02/2011,,
17552,PA,12.32,,12/07/2011,,
17842,PA,10.08,,09/12/2011,,
19330,PA,7.5,36890.0,05/26/2012,,
17830,PA,8.64,39760.0,04/12/2012,,
19320,PA,27.84,119700.0,03/13/2012,,
18930,PA,14.4,62630.0,02/20/2012,,
17094,PA,96.0,358600.0,02/08/2012,,
17870,PA,15.12,,09/27/2011,,
17601,PA,37.52,,10/18/2011,,
15217,PA,2.96,,10/28/2011,,
17053,PA,11.04,,11/04/2011,,
18069,PA,6.075,,01/19/2010,,
17404,PA,41.82,,12/28/2011,,
17025,PA,9.435,,12/30/2010,,
17325,PA,19.32,,01/30/2012,,
19520,PA,4.8,,11/04/2010,,
19382,PA,6.21,,03/22/2012,,
18801,PA,10.12,,02/27/2011,,
19606,PA,2.115,,03/07/2012,,
19539,PA,26.88,,02/23/2012,,
17067,PA,101.2,613300.0,02/15/2011,,
17552,PA,306.6,1440180.0,01/13/2011,,
17964,PA,98.0,425980.0,06/20/2011,,
17082,PA,37.44,254800.0,02/04/2011,,
17976,PA,4.51,29740.0,12/27/2011,,
17601,PA,60.72,287000.0,08/11/2011,,
17349,PA,4.14,30790.0,04/15/2011,,
19348,PA,39.22,220000.0,06/09/2011,,
17846,PA,81.88,384000.0,02/09/2011,,
17545,PA,20.64,101810.0,05/06/2011,,
19508,PA,98.67,557230.0,02/14/2011,,
19540,PA,35.045,173300.0,04/22/2011,,
17545,PA,108.68,467500.0,06/02/2011,,
19020,PA,199.6,1280000.0,01/24/2011,,
19464,PA,136.955,726300.0,06/29/2011,,
19522,PA,104.625,664700.0,06/14/2011,,
17602,PA,250.51,,09/29/2011,,
19462,PA,29.0,119000.0,03/01/2012,,
19504,PA,109.94,,12/31/2011,,
15108,PA,43.2,,10/01/2010,,
19446,PA,9.2,,01/10/2012,,
19380,PA,4.6,,06/23/2011,,
19139,PA,3.68,,07/07/2011,,
19073,PA,8.97,,01/17/2012,,
19063,PA,2.76,,11/02/2011,,
19027,PA,3.91,,06/14/2011,,
19001,PA,3.22,,07/14/2011,,
18976,PA,8.28,,10/26/2011,,
18955,PA,5.17,,12/02/2011,,
19475,PA,5.29,,10/17/2011,,
19460,PA,6.44,,07/11/2011,,
19440,PA,8.05,,07/21/2011,,
19382,PA,3.68,,04/21/2011,,
19380,PA,7.13,,06/23/2011,,
