Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=MO
63052,MO,8.33,36069.0,08/07/2012,,
63052,MO,8.57,36444.0,07/23/2012,,
63379,MO,9.8,38906.0,07/23/2012,,
63301,MO,9.56,38909.0,07/20/2012,,
63050,MO,9.8,38906.0,07/16/2012,,
63052,MO,6.37,26436.0,07/07/2012,,
63368,MO,9.56,38889.0,06/04/2012,,
63303,MO,6.37,27801.0,06/03/2012,,
63128,MO,8.0,27950.0,04/30/2012,,
63104,MO,8.09,34598.0,04/27/2012,,
63376,MO,9.56,38718.0,04/24/2012,,
63020,MO,8.0,33690.0,04/01/2012,,
63038,MO,9.75,40950.0,03/28/2012,,
63011,MO,6.5,28730.0,02/27/2012,,
63366,MO,6.5,27235.0,02/25/2012,,
63366,MO,8.25,33165.0,02/14/2012,,
63037,MO,1.25,2100.0,07/18/2012,,
63037,MO,1.5,3500.0,12/21/2011,,
63037,MO,2.0,22000.0,08/14/2010,,
63037,MO,3.9,22000.0,10/16/2009,,
63037,MO,3.9,22000.0,10/16/1997,,
64131,MO,25.0,100000.0,12/31/2011,,
63141,MO,25.0,,08/02/2012,,
65550,MO,3.0,,08/14/2012,,
63122,MO,7.2,,08/09/2012,,
63114,MO,24.96,,08/14/2012,,
63023,MO,9.6,,08/14/2012,,
63109,MO,5.46,,08/02/2012,,
63026,MO,3.84,,07/19/2012,,
63042,MO,2.88,,07/13/2012,,
63109,MO,5.04,,06/28/2012,,
63051,MO,5.64,,06/20/2012,,
63114,MO,75.0,,06/26/2012,,
63108,MO,9.36,,05/30/2012,,
63376,MO,3.36,,05/29/2012,,
63130,MO,2.88,,05/22/2012,,
63104,MO,5.76,,05/15/2012,,
63103,MO,25.0,,05/01/2012,,
63010,MO,2.88,,04/20/2012,,
63010,MO,2.88,,04/20/2012,,
63144,MO,1.92,,04/15/2012,,
63112,MO,87.0,,04/15/2012,,
63122,MO,4.8,,03/16/2012,,
63106,MO,0.92,,02/27/2012,,
63025,MO,5.76,,02/15/2012,,
63011,MO,2.88,,03/15/2012,,
63103,MO,9.6,,02/10/2012,,
63017,MO,9.0,,01/31/2012,,
63105,MO,4.6,,01/25/2012,,
65041,MO,8.64,,01/30/2012,,
63118,MO,2.4,,01/23/2012,,
63114,MO,25.0,,12/20/2011,,
63105,MO,5.04,,12/20/2011,,
63109,MO,4.8,,12/22/2011,,
63109,MO,3.8,,12/22/2011,,
63026,MO,75.0,,12/20/2011,,
63132,MO,24.0,,12/10/2011,,
63118,MO,25.0,,12/10/2011,,
63026,MO,5.76,,11/17/2011,,
63005,MO,25.0,70000.0,07/22/2012,,
63132,MO,4.63,27000.0,02/10/2010,,
63109,MO,3.15,15600.0,09/21/2011,,
63110,MO,25.3,155000.0,02/15/2011,,
63102,MO,26.0,,04/04/2012,,
64116,MO,25.0,,07/18/2011,,
63011,MO,1.8,,03/15/2009,,
63025,MO,4.3,,10/02/2009,,
63122,MO,9.2,,03/05/2011,,
63141,MO,2.73,,01/19/2010,,
63043,MO,3.5,,08/26/2010,,
63011,MO,2.45,,02/10/2009,,
63110,MO,2.1,,07/13/2009,,
63304,MO,45.0,,01/03/2010,,
63025,MO,23.0,,10/28/2010,,
