Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=NH
03102,NH,3.12,15151.0,08/01/2012,,
03037,NH,4.8,19600.0,10/01/2012,,
03584,NH,3.84,17522.0,09/01/2012,,
03825,NH,4.88,17735.0,09/01/2012,,
03755,NH,4.935,21610.0,10/01/2012,,
03110,NH,4.845,26405.0,09/15/2012,,
03864,NH,4.59,15600.0,07/01/2012,,
03590,NH,4.05,22600.0,07/01/2012,,
03849,NH,4.95,25800.0,07/01/2012,,
03812,NH,4.32,19223.0,08/01/2012,,
03818,NH,4.8,18740.0,07/01/2012,,
03223,NH,4.8,22147.0,07/01/2012,,
03452,NH,4.0,31373.0,07/14/2012,,
03304,NH,3.36,15000.0,07/03/2012,,
03588,NH,4.8,20666.0,08/15/2012,,
03264,NH,4.1,15659.0,09/15/2012,,
03816,NH,4.83,24000.0,07/01/2012,,
03258,NH,3.6,18375.0,06/01/2012,,
03051,NH,1.962,16126.0,06/01/2012,,
03102,NH,4.4,20500.0,08/01/2012,,
03106,NH,4.8,25450.0,05/24/2012,,
03261,NH,4.8,18585.0,07/01/2012,,
03245,NH,4.95,19479.0,05/18/2012,,
03063,NH,4.8,22000.0,05/25/2012,,
03450,NH,4.935,17275.0,05/21/2012,,
03878,NH,2.88,11825.0,07/01/2012,,
03782,NH,3.99,16299.0,05/20/2012,,
03801,NH,4.9,26705.0,09/01/2012,,
03583,NH,4.6,19800.0,05/01/2012,,
03867,NH,4.8,18129.0,07/01/2012,,
03226,NH,4.83,16714.0,08/01/2012,,
03867,NH,4.8,20449.0,07/01/2012,,
03820,NH,2.88,17450.0,07/01/2012,,
03287,NH,4.8,23000.0,09/04/2012,,
03833,NH,4.8,34519.0,06/01/2012,,
03275,NH,3.36,17187.15,05/02/2012,,
03431,NH,3.055,14745.0,05/11/2012,,
03580,NH,0.72,4937.9,04/03/2012,,
03741,NH,2.964,25270.0,07/01/2012,,
03470,NH,4.0,24128.0,05/15/2012,,
03046,NH,0.96,6478.0,05/01/2012,,
03263,NH,3.36,9975.0,04/30/2012,,
03868,NH,4.7,20203.0,05/01/2012,,
03031,NH,4.25,23975.0,03/27/2012,,
03282,NH,4.95,19859.0,05/01/2012,,
03845,NH,3.84,21515.0,07/01/2012,,
03588,NH,4.59,35200.0,05/01/2012,,
03592,NH,1.35,5625.7,03/01/2012,,
03290,NH,3.84,18442.0,05/01/2012,,
03253,NH,4.7,24255.0,04/01/2012,,
03086,NH,4.8,31000.0,06/01/2012,,
03819,NH,4.8,20804.0,05/01/2012,,
03303,NH,4.32,20723.0,05/30/2012,,
03303,NH,2.88,14325.0,04/30/2012,,
03263,NH,4.7,23970.0,03/01/2012,,
03087,NH,4.6,24720.0,04/01/2012,,
03224,NH,3.29,16830.0,07/01/2012,,
03443,NH,4.8,19200.0,02/17/2012,,
03741,NH,2.88,15960.0,02/01/2012,,
03810,NH,3.64,14990.0,04/01/2012,,
03070,NH,4.8,11500.0,10/01/2012,,
03269,NH,4.8,20667.0,04/12/2012,,
03801,NH,4.845,27374.0,04/15/2012,,
03824,NH,2.82,13384.0,03/01/2012,,
03580,NH,4.8,15000.0,10/01/2012,,
03884,NH,4.8,22080.0,05/01/2012,,
03053,NH,4.935,22249.0,04/01/2012,,
03824,NH,2.82,17262.0,02/01/2012,,
03833,NH,3.76,17487.0,04/01/2012,,
03259,NH,3.6,22000.0,03/01/2012,,
03768,NH,4.7,23997.56,01/16/2012,,
03431,NH,4.7,23596.0,02/01/2012,,
03051,NH,4.7,20433.0,02/01/2012,,
03087,NH,3.9,21554.0,04/01/2012,,
03830,NH,4.7,21862.0,01/01/2012,,
03303,NH,4.7,40422.0,02/01/2012,,
03862,NH,4.7,21210.0,01/01/2012,,
03840,NH,2.3,14771.0,01/01/2012,,
03046,NH,3.78,9900.0,08/01/2012,,
03584,NH,4.08,26784.0,01/01/2012,,
03055,NH,4.5,25892.0,02/01/2012,,
03861,NH,4.845,25500.0,02/15/2012,,
03276,NH,3.29,15644.0,02/01/2012,,
03825,NH,2.724,10140.0,02/01/2012,,
03848,NH,3.76,17851.0,02/01/2012,,
03885,NH,4.7,19422.0,02/01/2012,,
03051,NH,4.6,13000.0,08/01/2012,,
03224,NH,3.76,17361.0,02/01/2012,,
03245,NH,4.935,25650.0,04/15/2012,,
03824,NH,4.7,20083.0,01/01/2012,,
03036,NH,4.14,25921.0,01/01/2012,,
03845,NH,3.76,22737.0,01/01/2012,,
03110,NH,4.9,24900.0,08/01/2012,,
03844,NH,39.78,,09/24/2012,,
03860,NH,167.4,1200000.0,08/12/2010,,
03278,NH,11.52,,12/14/2011,,
03801,NH,23.265,,06/16/2011,,
03874,NH,276.0,1250000.0,06/09/2011,,
03110,NH,2.52,15820.0,10/25/2010,,
03886,NH,3.68,20000.0,10/01/2010,,
03241,NH,4.73,30449.0,10/15/2010,,
03855,NH,2.3,13776.0,11/30/2010,,
03777,NH,3.15,18767.0,10/31/2010,,
03851,NH,4.83,17006.0,10/31/2010,,
03042,NH,2.925,7420.0,09/30/2010,,
03045,NH,1.2,17944.0,09/17/2010,,
03227,NH,4.62,22000.0,09/30/2010,,
03603,NH,4.95,14850.0,09/17/2010,,
03833,NH,2.82,13750.0,10/15/2010,,
03222,NH,2.1,13188.0,10/29/2010,,
03227,NH,2.7,19490.0,09/01/2010,,
03861,NH,3.68,23088.0,09/10/2010,,
03862,NH,2.585,12500.0,09/15/2010,,
03264,NH,2.115,14958.0,10/01/2010,,
03259,NH,4.725,28000.0,09/13/2010,,
03304,NH,2.0,12005.0,10/13/2010,,
03044,NH,2.115,13000.0,11/30/2010,,
03838,NH,4.9,29285.0,11/25/2010,,
03602,NH,1.76,9810.0,09/10/2010,,
03768,NH,2.7,22080.0,08/18/2010,,
03605,NH,2.07,14095.0,10/05/2010,,
03253,NH,4.6,26750.0,09/01/2010,,
03303,NH,2.88,16643.0,09/10/2010,,
03462,NH,1.92,13354.0,08/02/2010,,
03227,NH,1.0,9000.0,08/31/2010,,
03816,NH,3.36,24172.0,07/30/2010,,
03581,NH,2.3,12508.0,09/15/2010,,
03862,NH,2.1,17500.0,07/24/2010,,
01827,NH,2.025,11950.0,08/25/2010,,
03768,NH,1.38,11500.0,09/30/2010,,
03046,NH,2.4,26971.0,08/27/2010,,
03229,NH,4.7,19667.0,08/13/2010,,
03576,NH,2.3,18949.0,08/01/2010,,
03801,NH,2.7,18024.0,08/20/2010,,
03301,NH,2.0,13299.0,08/27/2010,,
03833,NH,4.83,23626.0,09/01/2010,,
03886,NH,4.14,23000.0,08/24/2010,,
03467,NH,4.86,19500.0,08/25/2010,,
03827,NH,0.47,4447.66,07/14/2010,,
03259,NH,4.83,29000.0,11/01/2010,,
03844,NH,4.83,23196.0,09/01/2010,,
03894,NH,3.136,20792.0,08/18/2010,,
03755,NH,2.76,16718.0,09/01/2010,,
03768,NH,4.5,25300.0,09/20/2010,,
03431,NH,2.025,18750.0,08/21/2010,,
03576,NH,2.3,12000.0,07/01/2010,,
03278,NH,4.6,23222.0,07/16/2010,,
03259,NH,4.0,23500.0,09/01/2010,,
03284,NH,2.0,10738.0,07/09/2010,,
03450,NH,1.935,19318.0,07/29/2010,,
03608,NH,3.76,20321.0,07/02/2010,,
03458,NH,2.016,13958.0,07/29/2010,,
03450,NH,2.1,12414.0,07/25/2010,,
03608,NH,2.6,11960.0,07/03/2010,,
03750,NH,2.25,15495.0,07/21/2010,,
03444,NH,1.2,7712.0,05/01/2010,,
03264,NH,4.725,33483.0,08/24/2010,,
03813,NH,4.83,23000.0,06/01/2010,,
03038,NH,4.2,18000.0,06/01/2010,,
03768,NH,1.38,12462.0,07/28/2010,,
03608,NH,4.2,32500.0,08/05/2010,,
03833,NH,4.608,29952.0,07/30/2010,,
03051,NH,4.81,15000.0,07/31/2010,,
03086,NH,3.36,20358.0,07/01/2010,,
03462,NH,2.7,14850.0,07/09/2010,,
03253,NH,4.83,25253.0,08/01/2010,,
03443,NH,4.6,27600.0,07/02/2010,,
03820,NH,3.22,19320.0,08/01/2010,,
03032,NH,3.76,23162.0,06/18/2010,,
03077,NH,2.0,16510.0,06/30/2010,,
03835,NH,3.22,17046.0,07/01/2010,,
03753,NH,4.8,27120.0,06/15/2010,,
03748,NH,1.68,13856.0,08/01/2010,,
03226,NH,4.8,27120.0,07/01/2010,,
03259,NH,4.14,27700.0,08/10/2010,,
03603,NH,4.8,27120.0,06/30/2010,,
03603,NH,2.688,20892.0,06/30/2010,,
03823,NH,2.3,18000.0,04/17/2010,,
03467,NH,2.64,13200.0,06/03/2010,,
03466,NH,2.64,12464.0,07/16/2010,,
03045,NH,4.7,28678.0,06/11/2010,,
03605,NH,2.0,12020.0,07/15/2010,,
03222,NH,2.53,19481.0,06/17/2010,,
03253,NH,4.6,23500.0,06/12/2010,,
03583,NH,2.1,12000.0,07/01/2010,,
03858,NH,2.94,26405.0,06/30/2010,,
03841,NH,3.08,27550.0,05/30/2010,,
03826,NH,3.22,18136.0,07/01/2010,,
03784,NH,4.92,25662.0,06/10/2010,,
03253,NH,4.8,52360.0,07/01/2010,,
03841,NH,4.83,24789.0,07/01/2010,,
03431,NH,2.88,17827.0,04/01/2010,,
03601,NH,2.1,16500.0,05/06/2010,,
03748,NH,2.76,12564.0,07/01/2010,,
03601,NH,4.32,14481.0,10/01/2010,,
03049,NH,2.85,23512.0,12/04/2009,,
03748,NH,4.8,31445.0,05/31/2010,,
03227,NH,2.2,15900.0,05/20/2010,,
03227,NH,4.6,24250.0,06/01/2010,,
03894,NH,4.14,22400.0,05/20/2010,,
03057,NH,3.22,18224.0,06/01/2010,,
03857,NH,2.3,13638.0,06/01/2010,,
03576,NH,2.3,13744.0,05/01/2010,,
03582,NH,2.3,12508.0,05/01/2010,,
03833,NH,3.01,21221.0,05/01/2010,,
03809,NH,4.1,26300.0,06/01/2010,,
03276,NH,2.1,12650.0,06/01/2010,,
03603,NH,2.1,16000.0,09/02/2009,,
03605,NH,2.1,16029.0,05/04/2010,,
03870,NH,4.14,21415.0,06/01/2010,,
03227,NH,2.2,13500.0,04/28/2010,,
03840,NH,4.7,28464.0,04/30/2010,,
03227,NH,4.8,26000.0,05/05/2010,,
03860,NH,4.2,25000.0,04/30/2010,,
03602,NH,2.2,19840.0,04/01/2010,,
03455,NH,2.115,15571.0,03/29/2010,,
03047,NH,4.23,29371.0,04/23/2010,,
03446,NH,3.055,17200.0,04/29/2010,,
03750,NH,4.92,27841.0,05/05/2010,,
03049,NH,4.95,32000.0,04/10/2010,,
03301,NH,4.7,29285.0,04/15/2010,,
03825,NH,2.5,14565.0,02/10/2010,,
03230,NH,4.6,26000.0,05/01/2010,,
03227,NH,3.2,30035.0,08/14/2009,,
03825,NH,3.29,16640.0,04/01/2010,,
03031,NH,4.2,26301.0,04/15/2010,,
03254,NH,3.96,28600.0,07/01/2010,,
03817,NH,4.62,17000.0,05/01/2010,,
03466,NH,2.64,14062.0,04/13/2010,,
03602,NH,2.0,24791.0,12/25/2009,,
03110,NH,2.2,13050.0,04/12/2010,,
03037,NH,3.22,16201.0,05/01/2010,,
03278,NH,2.3,12420.0,03/19/2010,,
03467,NH,2.64,11970.0,03/26/2010,,
03259,NH,4.1,20750.0,03/30/2010,,
03249,NH,4.84,24950.0,03/30/2010,,
03598,NH,4.05,20300.0,08/01/2010,,
03242,NH,3.22,16497.0,04/01/2010,,
03598,NH,2.85,25718.0,04/01/2010,,
03258,NH,4.92,33000.0,05/15/2010,,
03874,NH,4.935,34128.0,03/30/2010,,
03576,NH,2.45,12050.0,05/01/2010,,
03835,NH,4.6,22587.0,05/01/2010,,
03875,NH,4.4,23000.0,03/15/2010,,
03897,NH,4.6,23000.0,03/10/2010,,
03816,NH,4.928,35029.0,04/30/2010,,
03839,NH,2.16,15155.0,11/23/2009,,
03743,NH,1.32,6487.0,04/30/2010,,
03857,NH,3.22,15484.0,04/16/2010,,
03773,NH,4.8,29424.0,03/31/2010,,
03743,NH,2.42,12000.0,03/15/2010,,
03801,NH,2.45,12942.0,03/31/2010,,
03886,NH,4.3,37000.0,10/01/2009,,
03042,NH,4.5,33000.0,02/26/2010,,
03824,NH,2.4,29937.0,12/31/2009,,
03585,NH,3.28,39600.0,12/30/2009,,
03254,NH,3.6,47796.0,03/01/2010,,
03245,NH,2.52,17246.0,04/01/2010,,
03307,NH,4.7,30743.0,12/23/2009,,
03586,NH,2.76,15000.0,02/01/2009,,
03431,NH,4.1,30000.0,12/18/2009,,
03824,NH,2.76,19320.0,12/10/2009,,
03227,NH,4.14,25300.0,12/30/2009,,
03037,NH,2.1,17375.0,12/28/2009,,
03110,NH,3.28,22649.0,12/30/2009,,
03855,NH,4.41,27232.0,03/31/2010,,
03301,NH,4.41,18548.72,11/11/2009,,
03034,NH,2.5,18995.0,12/11/2009,,
03257,NH,4.95,26730.0,12/15/2009,,
03269,NH,1.9,20872.5,12/11/2009,,
03278,NH,3.36,21800.0,12/27/2009,,
03781,NH,2.52,16500.0,12/31/2009,,
03249,NH,4.4,24000.0,12/31/2009,,
03444,NH,4.6,32200.0,11/16/2009,,
03608,NH,3.15,26000.0,11/30/2009,,
03743,NH,2.1,16550.0,11/24/2009,,
03839,NH,3.456,23955.0,11/30/2009,,
03824,NH,4.83,22533.0,01/29/2010,,
03576,NH,2.24,15654.0,12/15/2009,,
03253,NH,2.0,15500.0,11/13/2009,,
03259,NH,2.2,14500.0,11/15/2009,,
03846,NH,4.94,14760.0,11/30/2009,,
03110,NH,2.42,18500.0,10/19/2009,,
03076,NH,4.5,45000.0,11/19/2009,,
03280,NH,2.0,18000.0,11/15/2009,,
03781,NH,2.94,26000.0,10/31/2009,,
03743,NH,2.88,27418.0,11/30/2009,,
03824,NH,2.28,15860.0,12/31/2009,,
03227,NH,2.64,16000.0,11/15/2009,,
03254,NH,4.5,24750.0,11/12/2009,,
03467,NH,2.1,10433.44,11/13/2009,,
03276,NH,2.16,12557.0,10/23/2009,,
03824,NH,2.07,16200.0,10/24/2009,,
03264,NH,2.1,15141.0,12/01/2009,,
