Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=IL
61048,IL,2.52,17900.0,01/14/2010,,
61047,IL,3.85,21505.0,01/19/2010,,
60022,IL,54.7,487000,01/31/2010,,
62675,IL,2.97,29658.0,02/03/2010,,
61614,IL,2.936,34000.0,02/03/2010,,
61615,IL,4.032,37572.0,02/04/2010,,
61075,IL,5.6,32853.0,02/04/2010,,
60302,IL,4.1,38780.0,02/04/2010,,
62613,IL,2.04,23280.0,02/16/2010,,
61571,IL,3.584,31524.0,02/16/2010,,
60201,IL,3.0,27960.0,02/16/2010,,
60623,IL,1.0,17000.0,02/16/2010,,
61764,IL,3.36,35845.0,02/18/2010,,
60201,IL,2.6,26210.0,02/18/2010,,
62811,IL,5.06,48800.0,02/18/2010,,
60060,IL,5.2,44230.0,02/26/2010,,
61614,IL,4.08,45738.4,02/26/2010,,
62401,IL,14.0,170255.0,03/03/2010,,
60653,IL,1.2,12976.34,03/08/2010,,
61925,IL,5.0,27566.82,03/19/2010,,
61259,IL,1.05,9155.25,03/19/2010,,
62946,IL,4.05,20066.81,03/19/2010,,
61015,IL,5.6,25714.49,03/19/2010,,
60098,IL,2.8,8558.96,03/22/2010,,
61802,IL,8.2,30081.2,03/24/2010,,
61607,IL,13.5,106650.0,03/24/2010,,
60176,IL,5.12,32973.13,03/25/2010,,
60008,IL,2.688,14433.01,03/26/2010,,
62670,IL,9.28,38672.0,03/29/2010,,
60618,IL,6.3,36500.0,04/02/2010,,
62642,IL,8.46,33802.12,04/07/2010,,
60051,IL,5.25,35440.0,04/07/2010,,
60150,IL,1.14,13580.0,04/09/2010,,
61561,IL,2.16,22653.61,04/09/2010,,
61802,IL,2.0,13344.78,04/09/2010,,
61036,IL,3.5,25560.0,04/09/2010,,
60520,IL,1.1,13733.0,04/09/2010,,
60625,IL,2.45,28554.88,04/09/2010,,
62294,IL,4.05,20627.0,04/09/2010,,
60515,IL,2.0,18000.0,04/09/2010,,
61074,IL,1.1,5840.0,04/09/2010,,
62040,IL,2.0,9641.14,04/09/2010,,
60970,IL,1.02,6397.93,04/15/2010,,
60525,IL,1.0,5860.0,04/15/2010,,
62293,IL,6.02,30444.95,04/15/2010,,
61016,IL,2.1,12560.0,04/16/2010,,
60712,IL,4.0,34000.0,04/20/2010,,
62565,IL,2.912,24889.0,04/26/2010,,
60657,IL,2.035,18249.0,05/03/2010,,
60607,IL,10.08,63390.67,05/07/2010,,
61571,IL,2.52,34000.0,05/11/2010,,
62908,IL,1.8,19360.18,05/11/2010,,
61301,IL,2.94,11318.0,05/12/2010,,
61778,IL,3.0,23324.0,05/12/2010,,
61046,IL,1.4,8050.0,05/12/2010,,
60625,IL,1.26,10000.0,06/23/2010,,
60089,IL,1.11,9039.0,06/23/2010,,
60515,IL,6.0,32746.0,06/23/2010,,
62896,IL,2.5,16663.0,06/28/2010,,
60450,IL,1.1,4900.0,06/28/2010,,
61455,IL,1.4,11590.0,06/30/2010,,
61062,IL,1.4,6970.0,06/30/2010,,
60618,IL,3.52,23200.0,07/28/2010,,
62264,IL,1.845,10917.0,08/01/2010,,
61436,IL,6.3,43500.0,08/04/2010,,
60062,IL,22.67,129700.0,08/05/2010,,
60108,IL,5.9,34000.0,08/05/2010,,
62002,IL,30.96,196154.0,08/05/2010,,
62040,IL,6.93,34754.0,08/05/2010,,
62521,IL,5.64,43323.0,08/05/2010,,
60026,IL,49.91,376215.0,08/05/2010,,
61832,IL,4.1,45009.37,08/05/2010,,
62448,IL,10.56,62392.0,08/05/2010,,
60628,IL,12.8,275000.0,08/05/2010,,
61544,IL,5.0,46090.0,08/05/2010,,
61820,IL,11.25,104300.0,08/05/2010,,
60642,IL,1.3,15743.38,08/06/2010,,
62234,IL,3.0,20675.0,08/06/2010,,
60201,IL,5.0,42330.0,08/06/2010,,
60537,IL,3.68,24150.0,08/09/2010,,
60304,IL,3.6,29515.0,08/09/2010,,
60188,IL,25.2,190000.0,08/09/2010,,
60714,IL,6.325,50760.0,08/09/2010,,
60202,IL,3.744,38900.0,08/09/2010,,
60614,IL,12.6,75522.56,08/09/2010,,
