Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=TN
37221,TN,3.150000095,,08/26/2010,,
37087,TN,2.150000095,,08/25/2010,,
37067,TN,2.880000114,,08/24/2010,,
38581,TN,31.0,,08/24/2010,,
38478,TN,20.15999985,,08/13/2010,,
37027,TN,14.39999962,,08/12/2010,,
37209,TN,10.30000019,,08/12/2010,,
37888,TN,9.520000458,,08/11/2010,,
37127,TN,4.139999866,,08/06/2010,,
37888,TN,8.979999542,,08/05/2010,,
37402,TN,31.5,,08/05/2010,,
37402,TN,25.62000084,,07/30/2010,,
37148,TN,40.0,,07/29/2010,,
37040,TN,4.0,,07/27/2010,,
37743,TN,2.0,,07/23/2010,,
37115,TN,70.5,,07/23/2010,,
37060,TN,4.139999866,,07/21/2010,,
37618,TN,6.0,,07/19/2010,,
37206,TN,3.799999952,,07/16/2010,,
38119,TN,11.03999996,,07/15/2010,,
37777,TN,7.519999981,,07/15/2010,,
37203,TN,65.80000305,,07/12/2010,,
37080,TN,5.375999928,,07/09/2010,,
37013,TN,10.97999954,,07/09/2010,,
37205,TN,1.149999976,,07/07/2010,,
37846,TN,1.799999952,,07/01/2010,,
38558,TN,4.0,,07/01/2010,,
37209,TN,1.149999976,,07/01/2010,,
37803,TN,3.680000067,,06/28/2010,,
37862,TN,2.400000095,,06/28/2010,,
38506,TN,4.0,,06/22/2010,,
37354,TN,8.5,,06/22/2010,,
37075,TN,2.299999952,,06/22/2010,,
37055,TN,23.12000084,,06/21/2010,,
37415,TN,33.59999847,,06/10/2010,,
37228,TN,21.5,,06/03/2010,,
37763,TN,4.0,,05/28/2010,,
37075,TN,27.45000076,,05/21/2010,,
37075,TN,27.45000076,,05/21/2010,,
37075,TN,32.93999863,,05/21/2010,,
37377,TN,6.400000095,,05/10/2010,,
37922,TN,14.0,,05/07/2010,,
37010,TN,4.0,,05/05/2010,,
37354,TN,9.239999771,,04/29/2010,,
37772,TN,2.5,,04/28/2010,,
37174,TN,2.25,,04/22/2010,,
37803,TN,5.670000076,,04/22/2010,,
37343,TN,5.199999809,,04/16/2010,,
37402,TN,25.73999977,,04/16/2010,,
38544,TN,7.199999809,,07/29/2010,,
37871,TN,950.0,,07/16/2010,,
37871,TN,2.380000114,,07/08/2010,,
37069,TN,3.220000029,,05/13/2010,,
38542,TN,2.599999905,,04/30/2010,,
38193,TN,30.5,,04/16/2010,,
38193,TN,117.0,,04/13/2010,,
37062,TN,5.159999847,,04/09/2010,,
37064,TN,2.069999933,,04/09/2010,,
38571,TN,6.0,,04/06/2010,,
37062,TN,4.050000191,,04/01/2010,,
37167,TN,2.099999905,,03/30/2010,,
37912,TN,22.04999924,,03/19/2010,,
37375,TN,6.0,,03/17/2010,,
37343,TN,2.599999905,,03/02/2010,,
37033,TN,7.0,,02/25/2010,,
37209,TN,4.269999981,,02/25/2010,,
37604,TN,2.599999905,,02/17/2010,,
37211,TN,5.170000076,,02/04/2010,,
38340,TN,11.5,,02/02/2010,,
37205,TN,3.220000029,,01/26/2010,,
37205,TN,4.409999847,,01/25/2010,,
38451,TN,3.299999952,,01/22/2010,,
37069,TN,16.20000076,,01/15/2010,,
37771,TN,30.0,,01/13/2010,,
37129,TN,5.199999809,,01/13/2010,,
38473,TN,3.0,,01/13/2010,,
37183,TN,6.0,,01/08/2010,,
37821,TN,12.0,,01/08/2010,,
37415,TN,1.100000024,,01/04/2010,,
37363,TN,4.880000114,,12/30/2009,,
37062,TN,3.200000048,,12/30/2009,,
38555,TN,4.369999886,,12/17/2009,,
37367,TN,29.44000053,,12/17/2009,,
37033,TN,4.0,,12/15/2009,,
37027,TN,2.069999933,,12/15/2009,,
37415,TN,4.0,,12/15/2009,,
38469,TN,2.0,,12/15/2009,,
37067,TN,21.12000084,,12/11/2009,,
38305,TN,8.0,,12/11/2009,,
37062,TN,8.279999733,,12/11/2009,,
37342,TN,3.0,,12/10/2009,,
38506,TN,45.20000076,,12/04/2009,,
38068,TN,16.55999947,,11/30/2009,,
37760,TN,2.940000057,,11/25/2009,,
38117,TN,4.0,,11/19/2009,,
37212,TN,4.599999905,,11/13/2009,,
37771,TN,10.39999962,,11/06/2009,,
37748,TN,5.25,,11/04/2009,,
37375,TN,2.799999952,,10/30/2009,,
37879,TN,4.300000191,,10/30/2009,,
38063,TN,3.599999905,,10/22/2009,,
37412,TN,6.0,,10/22/2009,,
37353,TN,2.0,,10/21/2009,,
37777,TN,5.320000172,,10/15/2009,,
37886,TN,4.900000095,,10/15/2009,,
37203,TN,13.80000019,,10/09/2009,,
37129,TN,1.799999952,,10/02/2009,,
37725,TN,9.0,,09/30/2009,,
37760,TN,16.0,,09/30/2009,,
38583,TN,24.84000015,,09/23/2009,,
37072,TN,6.019999981,,09/22/2009,,
37030,TN,3.099999905,,09/22/2009,,
37882,TN,2.496000051,,09/21/2009,,
37849,TN,24.39999962,,09/18/2009,,
37027,TN,6.199999809,,09/08/2009,,
37076,TN,4.300000191,,09/03/2009,,
37763,TN,2.970000029,,09/03/2009,,
38115,TN,148.4,,03/15/2010,,
38372,TN,12.96,100000,08/05/2009,,
37830,TN,8,64000,01/01/2002,,
37821,TN,10,80000,01/03/2000,,
37642,TN,2,16000,01/01/2005,,
37201,TN,6.8,64600,01/01/2007,,
37923,TN,7.1,49700,02/11/2009,,
37401,TN,85,680000,01/01/2001,,
37362,TN,0.55,4000,01/01/1999,,
38483,TN,4,38475,01/01/2007,,
37201,TN,3.15,28750,01/01/2007,,
37601,TN,1,9500,01/01/2006,,
37748,TN,3,27000,04/10/2006,,
38351,TN,4.8,38500,12/31/2009,,
38351,TN,3.15,25200,05/15/2009,,
37334,TN,0.8,6000,01/01/2001,,
37367,TN,1,9500,01/01/2007,,
37923,TN,24.5,171500,08/08/2009,,
37771,TN,2,16000,01/01/2002,,
37923,TN,2.496,18720,02/06/2008,,
37923,TN,5.8,40600,01/01/2008,,
37923,TN,4.5,36000,01/01/2005,,
37086,TN,51.24,435540,01/01/2008,,
37660,TN,98,,12/01/2009,,
37040,TN,2.1,25000,09/15/2009,,
37327,TN,1,9000,01/01/2000,,
37401,TN,0.56,4750,01/01/2006,,
37923,TN,1.2,11400,01/01/2007,,
37391,TN,5.52,46000,12/24/2009,,
37362,TN,0.8,6000,01/01/1999,,
38366,TN,0.54,7000,11/23/2009,,
37201,TN,5.4,45900,01/01/2008,,
37076,TN,11,104500,01/01/2007,,
37201,TN,5.6,53200,01/01/2007,,
38351,TN,2.5,18000,04/07/2009,,
37015,TN,2,19000,01/01/2007,,
37069,TN,14.7,124950,01/01/2008,,
37167,TN,8,68000,01/01/2008,,
37923,TN,1.32,10000,07/07/2008,,
37923,TN,15,120000,01/01/2000,,
37201,TN,12,114000,01/01/2007,,
37135,TN,9.66,82110,01/01/2008,,
38024,TN,20,160000,01/01/2002,,
37397,TN,0.65,4000,01/01/2004,,
38583,TN,5.4,45900,01/01/2008,,
37771,TN,2,15000,01/01/2003,,
37830,TN,51.24,486780,01/01/2007,,
37201,TN,2.56,24320,01/01/2007,,
37771,TN,28.08,187500,12/11/2009,,
37201,TN,4,38000,01/01/2007,,
37777,TN,5.7,28000,11/23/2009,,
37601,TN,1.25,11875,01/01/2007,,
37923,TN,8,76000,01/01/2007,,
37201,TN,30,240000,01/01/2000,,
37401,TN,2,18000,01/01/2007,,
37362,TN,0.55,4000,02/24/1999,,
37401,TN,0.525,4000,02/24/1999,,
37760,TN,16.1,,07/16/2009,,
38305,TN,7.56,65000,11/23/2009,,
38454,TN,1.4,13300,01/01/2007,,
37046,TN,13.5,128250,01/02/2007,,
37321,TN,2,16000,01/01/2002,,
37362,TN,0.8,6000,02/24/1999,,
37201,TN,13,114000,01/01/2007,,
37201,TN,6,57000,01/01/2007,,
37201,TN,1.4,13300,01/01/2007,,
37401,TN,0.525,4000,01/01/1999,,
37830,TN,17,144500,01/01/2001,,
37748,TN,5.25,45000,04/11/2007,,
37201,TN,3.7,35150,01/01/2007,,
37650,TN,5.25,40665,07/14/2009,,
37771,TN,2.1,15000,01/01/2004,,
37153,TN,3.22,30590,01/01/2007,,
38476,TN,2,19000,01/01/2007,,
37201,TN,25.6,179200,01/01/2008,,
37069,TN,2,19000,01/01/2007,,
37748,TN,3,24000,01/01/2006,,
37040,TN,2,16000,01/01/2005,,
38542,TN,7.5,71250,01/01/2007,,
37862,TN,20,160000,01/01/2001,,
37069,TN,8.28,57960,01/01/2008,,
37011,TN,1.25,11000,01/01/2006,,
37205,TN,1.4,13300,01/01/2007,,
37923,TN,7.1,49700,01/01/2008,,
37716,TN,3.6,34200,01/01/2007,,
37909,TN,7.125,54000,02/10/2009,,
38501,TN,5,45000,01/01/2006,,
37356,TN,3,28500,01/01/2007,,
38501,TN,4,36000,01/01/2006,,
37327,TN,2,19000,01/01/2006,,
37923,TN,15,150000,06/06/2001,,
37916,TN,5.1,40000,12/06/2007,,
38069,TN,5000.0,,02/01/2012,,
37871,TN,1000.0,,08/12/2010,,
38301,TN,1000.0,,04/16/2012,,
37830,TN,1.32,10000,07/09/2009,,
