Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=MD
20912,MD,3.885,23616.0,03/20/2012,,
21502,MD,3.9,21580.0,01/23/2012,,
21122,MD,3.92,22000.0,07/01/2012,,
20832,MD,3.92,26852.0,06/15/2012,,
21206,MD,3.99,20748.0,02/10/2012,,
20901,MD,3.995,19875.0,06/13/2012,,
21234,MD,3.995,30282.1,02/01/2012,,
21140,MD,4.0,26000.0,10/31/2012,,
20905,MD,4.0,30521.0,09/17/2012,,
20769,MD,4.0,35621.0,03/29/2012,,
20613,MD,4.0,34521.0,05/23/2012,,
20874,MD,4.0,30600.0,02/08/2012,,
20759,MD,4.07,31461.0,04/11/2012,,
21054,MD,4.07,27880.0,04/16/2012,,
21146,MD,4.07,19500.0,02/01/2012,,
20910,MD,4.07,31339.0,02/14/2012,,
21212,MD,4.07,31339.0,05/05/2012,,
20707,MD,4.08,17924.0,07/01/2012,,
21224,MD,4.08,23592.0,04/01/2012,,
20902,MD,4.14,25875.0,04/08/2012,,
21234,MD,4.16,22758.0,06/27/2012,,
21029,MD,4.18,28633.0,05/16/2012,,
21093,MD,4.18,20109.0,02/08/2012,,
21009,MD,4.23,22000.0,06/22/2012,,
20901,MD,4.23,26500.0,04/07/2012,,
20902,MD,4.23,32063.0,05/08/2012,,
20902,MD,4.23,33755.4,05/04/2012,,
21015,MD,4.23,32063.0,02/03/2012,,
20878,MD,4.23,32064.0,01/20/2012,,
21048,MD,4.23,19515.0,03/22/2012,,
21409,MD,4.23,21150.0,04/01/2012,,
21042,MD,4.23,32571.0,01/16/2012,,
21046,MD,4.3,32594.0,04/13/2012,,
20716,MD,4.3,22403.0,03/29/2012,,
21043,MD,4.3,32594.0,03/17/2012,,
20602,MD,4.3,22403.0,03/06/2012,,
21122,MD,4.3,32594.0,01/18/2012,,
20814,MD,4.32,22507.2,07/10/2012,,
21060,MD,4.32,22507.2,06/11/2012,,
20785,MD,4.32,22507.2,04/26/2012,,
21784,MD,4.335,16550.0,11/19/2012,,
20855,MD,4.37,29935.0,04/23/2012,,
20743,MD,4.4,21890.0,05/08/2012,,
21228,MD,4.41,27460.0,05/01/2012,,
21784,MD,4.42,20038.0,04/25/2012,,
20912,MD,4.44,23132.4,06/25/2012,,
20850,MD,4.44,23132.4,05/15/2012,,
20714,MD,4.44,30414.0,02/28/2012,,
20816,MD,4.44,20646.0,01/10/2012,,
21220,MD,4.44,22200.0,01/10/2012,,
21090,MD,4.465,33844.7,04/26/2012,,
20902,MD,4.5,18675.0,07/01/2012,,
21666,MD,4.5,19400.0,07/01/2012,,
20712,MD,4.515,23523.0,05/07/2012,,
20855,MD,4.56,22686.0,06/27/2012,,
21040,MD,4.56,22686.0,06/05/2012,,
20895,MD,4.56,23757.6,05/29/2012,,
21208,MD,4.56,22686.0,05/14/2012,,
20601,MD,4.56,24000.0,04/15/2012,,
20724,MD,4.56,31236.0,05/16/2012,,
20874,MD,4.56,18354.0,02/24/2012,,
20706,MD,4.56,35248.0,01/04/2012,,
21076,MD,4.56,34321.0,05/22/2012,,
20815,MD,4.56,27178.0,06/18/2012,,
21131,MD,4.56,21888.0,02/10/2012,,
20872,MD,4.59,19278.0,08/01/2012,,
20740,MD,4.59,20196.0,10/01/2012,,
21919,MD,4.6,29670.0,01/01/2012,,
20676,MD,4.68,18720.0,08/02/2012,,
20722,MD,4.68,20592.0,05/01/2012,,
21163,MD,4.68,21000.0,04/01/2012,,
21817,MD,4.7,21150.0,07/16/2012,,
20607,MD,4.7,21432.4,07/11/2012,,
21875,MD,4.7,21526.0,06/19/2012,,
21090,MD,4.7,35626.0,04/26/2012,,
20874,MD,4.7,35626.0,01/06/2012,,
21234,MD,4.7,19505.0,03/07/2012,,
20814,MD,4.7,23500.0,03/14/2012,,
21136,MD,4.73,35853.0,01/09/2012,,
21793,MD,4.75,36718.0,06/04/2012,,
20855,MD,4.75,36718.0,05/14/2012,,
20902,MD,4.75,36718.0,02/20/2012,,
21061,MD,4.8,27800.0,03/01/2012,,
21113,MD,4.81,31291.0,04/10/2012,,
20880,MD,4.87,28975.0,07/09/2012,,
20876,MD,4.9,21000.0,04/01/2012,,
20895,MD,4.935,37407.0,03/14/2012,,
21144,MD,4.935,25711.35,03/05/2012,,
21234,MD,4.94,23465.0,05/10/2012,,
21043,MD,4.94,22700.0,02/06/2012,,
20855,MD,4.94,22959.0,02/01/2012,,
21015,MD,4.95,29205.0,04/01/2012,,
21219,MD,4.995,34216.0,02/27/2012,,
21043,MD,4.995,22477.0,02/01/2012,,
21236,MD,5.0,21250.0,09/24/2012,,
21229,MD,5.0,22750.0,05/25/2012,,
21220,MD,5.0,32121.0,04/02/2012,,
21085,MD,5.0,45421.0,06/18/2012,,
21654,MD,5.0,19183.0,06/06/2012,,
21561,MD,5.04,25200.0,11/08/2012,,
21043,MD,5.04,20724.0,04/18/2012,,
21042,MD,5.04,20724.0,03/19/2012,,
21120,MD,5.06,20205.0,05/11/2012,,
20816,MD,5.06,28900.0,04/01/2012,,
20912,MD,5.1,27702.0,05/23/2012,,
21532,MD,5.13,30575.0,06/18/2012,,
20777,MD,5.13,39655.0,05/25/2012,,
21014,MD,5.13,57202.0,05/03/2012,,
21921,MD,5.13,24900.0,03/02/2012,,
21085,MD,5.13,22881.0,01/30/2012,,
20850,MD,5.145,25622.0,02/11/2012,,
20878,MD,5.16,39113.0,04/09/2012,,
20817,MD,5.16,39112.8,03/22/2012,,
21128,MD,5.16,39112.8,01/20/2012,,
21085,MD,5.17,29500.0,05/15/2012,,
20772,MD,5.17,26935.7,03/26/2012,,
21122,MD,5.17,26935.7,02/14/2012,,
21157,MD,5.17,26935.7,01/09/2012,,
20744,MD,5.17,39189.0,01/06/2012,,
20837,MD,5.17,28690.0,03/23/2012,,
21236,MD,5.17,20000.0,03/06/2012,,
21043,MD,5.17,16000.0,01/14/2012,,
21050,MD,5.17,23075.0,02/23/2012,,
21009,MD,5.17,39964.1,04/30/2012,,
20854,MD,5.17,39964.0,02/06/2012,,
21784,MD,5.17,39964.0,02/20/2012,,
20657,MD,5.18,25382.0,04/14/2012,,
20815,MD,5.18,30400.0,03/13/2012,,
21015,MD,5.25,22312.5,06/25/2012,,
21228,MD,5.25,35963.0,02/06/2012,,
21716,MD,5.28,27508.8,06/11/2012,,
21046,MD,5.28,27508.8,05/08/2012,,
21813,MD,5.28,21892.0,04/11/2012,,
20818,MD,5.28,32740.0,02/01/2012,,
20901,MD,5.29,40098.0,02/01/2012,,
21639,MD,5.3,9995.0,03/14/2012,,
20878,MD,5.32,36442.0,03/07/2012,,
21219,MD,5.355,22863.0,09/01/2012,,
20853,MD,5.39,25212.0,08/09/2012,,
21813,MD,5.39,15045.6,09/13/2012,,
21117,MD,5.405,25697.0,02/17/2012,,
21093,MD,5.46,25300.0,05/01/2012,,
20818,MD,5.5,23375.0,06/07/2012,,
21797,MD,5.5,25501.0,05/03/2012,,
21113,MD,5.5,13862.0,03/09/2012,,
21901,MD,5.52,41841.6,05/07/2012,,
21668,MD,5.52,31000.0,01/01/2012,,
20707,MD,5.52,28207.2,12/01/2012,,
21780,MD,5.52,32190.0,01/10/2012,,
20637,MD,5.52,27791.67,01/10/2012,,
21701,MD,5.55,24646.0,05/01/2012,,
21043,MD,5.55,27472.0,01/01/2012,,
20850,MD,5.59,42372.0,03/28/2012,,
20783,MD,5.59,42372.2,03/16/2012,,
20874,MD,5.59,42372.0,02/01/2012,,
20818,MD,5.59,42372.0,01/18/2012,,
