Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=OR
97301,OR,18.48,78904.0,08/12/2012,,
97267,OR,3.29,15957.0,07/01/2012,,
97267,OR,3.29,17108.0,07/01/2012,,
97267,OR,5.76,29972.0,07/01/2012,,
97233,OR,3.29,14970.0,07/01/2012,,
97232,OR,3.06,17580.0,07/01/2012,,
97232,OR,7.0,42880.0,03/09/2012,,
97232,OR,95.41,499950.0,10/17/2012,,
97231,OR,3.36,34487.0,07/01/2012,,
97230,OR,3.29,14970.0,07/01/2012,,
97230,OR,3.36,19634.0,07/01/2012,,
97230,OR,3.84,20838.0,07/01/2012,,
97230,OR,5.16,26884.0,07/01/2012,,
97230,OR,10.81,38489.0,07/01/2012,,
97229,OR,2.4,11940.0,07/01/2012,,
97229,OR,2.6,14176.0,07/01/2012,,
97229,OR,3.06,21000.0,07/01/2012,,
97229,OR,3.06,16412.0,07/01/2012,,
97229,OR,3.22,16744.0,07/01/2012,,
97229,OR,3.24,15714.0,07/01/2012,,
97229,OR,3.25,15275.0,07/01/2012,,
97229,OR,3.25,15275.0,07/01/2012,,
97229,OR,3.25,14788.0,07/01/2012,,
97229,OR,3.25,14787.0,07/01/2012,,
97229,OR,3.25,15762.0,07/01/2012,,
97229,OR,3.25,14970.0,07/01/2012,,
97229,OR,3.43,14970.0,07/01/2012,,
97229,OR,3.43,14970.0,07/01/2012,,
97229,OR,3.43,14970.0,07/01/2012,,
97229,OR,3.6,17910.0,07/01/2012,,
97229,OR,3.84,19104.0,07/01/2012,,
97229,OR,4.335,21025.0,07/01/2012,,
97229,OR,5.16,26884.0,07/01/2012,,
97229,OR,5.52,28656.0,07/01/2012,,
97229,OR,6.24,31044.0,07/01/2012,,
97229,OR,6.24,29640.0,07/01/2012,,
97229,OR,6.48,32238.0,07/01/2012,,
97227,OR,3.5,15137.0,07/01/2012,,
97227,OR,15.288,102660.0,06/13/2012,,
97225,OR,2.805,14726.0,07/01/2012,,
97225,OR,3.0,17570.0,07/01/2012,,
97225,OR,4.32,15388.0,07/01/2012,,
97224,OR,2.55,19013.0,07/01/2012,,
97224,OR,3.25,18031.0,07/01/2012,,
97224,OR,4.08,27480.0,07/01/2012,,
97223,OR,3.29,25445.0,07/01/2012,,
97223,OR,22.56,74264.0,01/26/2012,,
97222,OR,3.29,16944.0,07/01/2012,,
97222,OR,3.29,14970.0,07/01/2012,,
97222,OR,3.29,14970.0,07/01/2012,,
97222,OR,3.29,15957.0,07/01/2012,,
97222,OR,3.29,17108.0,07/01/2012,,
97222,OR,4.8,25008.0,07/01/2012,,
97221,OR,3.24,14742.0,07/01/2012,,
97221,OR,4.08,23460.0,07/01/2012,,
97220,OR,3.22,15134.0,07/01/2012,,
97220,OR,3.29,14970.0,07/01/2012,,
97220,OR,500.25,1050000.0,05/12/2012,,
97219,OR,2.35,13513.0,07/01/2012,,
97217,OR,2.55,17025.0,07/01/2012,,
97217,OR,2.805,16120.0,07/01/2012,,
97217,OR,3.06,17889.0,07/01/2012,,
97217,OR,3.06,16524.0,07/01/2012,,
97217,OR,3.24,15714.0,07/01/2012,,
97217,OR,3.25,14788.0,07/01/2012,,
97217,OR,4.23,22038.0,07/01/2012,,
97217,OR,5.559,30315.0,07/01/2012,,
97217,OR,42.02,499995.0,02/13/2012,,
97216,OR,3.185,14520.0,07/01/2012,,
97215,OR,2.94,14113.0,07/01/2012,,
97215,OR,3.0,14100.0,07/01/2012,,
97215,OR,3.29,17898.0,07/01/2012,,
97215,OR,4.32,22507.0,07/01/2012,,
